districtID,Mean House Price (MHP),Economic Indicator (EI),Pop. (R+F) [inhab]
1,0.0,179.2,67919
2,0.0,59.1,32708
3,0.0,24.9,31693
4,0.0,883.3,27733
5,10296.9,196.5,40145
6,13875.3,280.5,91490
7,16588.7,92.3,58118
8,0.0,72.7,67111
9,0.0,0.0,22510
10,0.0,100.6,23945
11,0.0,57.9,41266
12,0.0,0.0,35423
13,0.0,83.6,0
14,0.0,226.2,104373
15,21839.2,535.7,62540
16,13578.5,187.8,64840
17,0.0,0.0,10538
18,19617.4,648.7,77041
19,0.0,39.7,51302
20,19508.7,920.1,165316
21,13719.6,505.2,117964
22,0.0,0.0,28060
23,19114.8,479.2,165134
24,0.0,11.2,10629
25,0.0,0.0,249724
26,33922.2,358.2,245391
27,0.0,187.9,51561
28,0.0,2.9,3900
29,0.0,3.8,7368
30,23535.9,1002.9,93045
31,29970.0,476.3,76456
32,44224.4,225.5,69280
33,36279.8,588.2,314576
34,22526.3,150.3,3683
35,0.0,95.7,51796
36,35598.6,1812.0,87919
37,16346.1,1127.6,153481
38,36369.3,1616.3,53484
39,23126.5,810.4,149022
40,0.0,639.0,100244
41,27728.4,4221.4,355205
42,38595.9,2067.3,181772
43,36980.0,977.3,110623
44,0.0,0.0,33167
45,0.0,751.7,107124
46,8851.0,10.3,21358
47,7000.0,338.3,74025
48,7000.0,390.9,139717
49,22375.8,513.8,116812
50,4525.1,1157.0,115316
51,15117.3,437.0,53171
52,25078.8,225.5,71394
53,0.0,3553.0,62955
54,32112.7,245.0,58867
55,22793.3,925.3,26004
56,31274.4,2508.0,146630
57,29712.5,1217.3,203076
58,10705.5,476.6,60443
59,0.0,288.4,48054
60,52001.3,539.1,66478
61,23114.6,618.0,49433
62,29249.0,1263.4,90724
63,40909.0,2443.2,249621
64,6687.0,3511.0,232576
65,0.0,1834.0,38360
66,0.0,13450.0,89884
67,47551.8,150.0,49798
68,0.0,279.7,16474
69,35190.6,305.5,69093
70,23521.7,473.0,82481
71,14440.1,1895.7,134780
72,22955.8,186.7,71851
73,0.0,11.1,6835
74,14795.1,98.3,101207
75,78375.3,469053.0,84121
76,60421.1,13190.2,78646
77,0.0,483.1,0
78,14915.8,211812.0,142730
79,17589.3,77056.8,158681
80,0.0,6.0,9476
81,8435.2,5025.2,211306
82,8276.2,0.0,64370
83,0.0,231.0,53485
84,79132.1,12784.0,69436
85,21487.2,2342.6,157013
86,0.0,5146.5,84009
87,44155.5,19223.7,43786
88,0.0,1.2,15655
89,27488.5,19.8,9775
90,14416.3,39.0,9558
91,45176.6,1312.0,150821
92,43039.7,3566.5,177573
93,36774.8,1080.0,49361
94,22195.5,1491.4,135882
95,22149.2,1200.8,47107
96,27969.2,629.3,99905
97,0.0,55834.0,54481
98,32768.4,648.9,53286
99,19884.6,11049.2,146245
100,26260.0,622.2,150452
101,21087.3,8633.0,124102
102,21940.1,1441.1,139748
103,39538.6,978.0,125334
104,26490.1,103.5,90549
105,0.0,286.4,58596
106,52122.9,3515.1,80958
107,0.0,138.0,87558
108,0.0,21.8,30623
109,35393.7,277.9,23269
110,26001.2,428.1,53321
111,13274.7,7262.2,96624
112,0.0,7684.0,167078
113,0.0,15307.4,57142
114,25833.8,1503.4,195737
115,27824.2,0.0,266319
116,0.0,54.1,39515
117,70892.2,3789.3,164760
118,55384.1,1081.7,132817
119,0.0,2765.1,20765
120,0.0,2546.6,199721
121,54457.0,4311.4,44360
122,0.0,1401.4,66190
123,0.0,4691.0,143198
124,100329.9,11044.4,134369
125,40783.5,2908.8,147614
126,26561.9,1826.6,87895
127,44741.9,2397.9,84722
128,89365.7,4542.0,267655
129,64812.0,2004.0,129368
130,0.0,3.7,5006
131,33974.3,1511.1,95435
132,0.0,1973.1,44094
133,0.0,3.1,15827
134,0.0,3917.0,222970
135,31662.3,77.3,41201
136,56453.8,1698.8,174884
137,60188.3,3017.1,94252
138,0.0,0.0,0
139,45362.0,169.8,191263
140,46866.0,1292.6,136849
141,63028.7,1698.8,240439
142,0.0,3.1,39403
143,83573.6,1566.7,58181
144,0.0,1907.2,311253
145,25000.3,3566.5,196356
146,48851.1,2197.6,44859
147,0.0,315.0,24939
148,8330.8,1683.4,97419
149,0.0,0.0,2391
150,23688.9,1323.1,142993
151,0.0,371.8,159571
152,0.0,13.5,14555
153,0.0,3718.7,51309
154,79772.2,1511.1,141721
155,48773.5,5023.7,187191
156,45579.9,576.5,110748
157,26897.0,322.0,73286
158,0.0,8.8,8452
159,42951.5,1040.6,37456
160,21329.9,994.0,100342
161,0.0,4974.8,26191
162,12119.3,147.3,19991
163,33957.7,202.4,227965
164,0.0,322.0,55700
165,25318.9,1238.5,469207
166,39456.8,205.9,194510
167,18311.2,350.0,23017
168,0.0,41.0,30045
169,24335.5,784.0,62415
170,0.0,27.7,11453
171,18280.5,1162.0,71124
172,23099.6,392.0,62549
173,20496.7,546.0,42597
174,0.0,432.0,19020
175,9876.1,728.0,57105
176,0.0,89.8,18435
177,27336.4,941.4,633107
178,0.0,0.0,95450
179,0.0,70.3,64328
180,0.0,1008.0,44499
181,18036.5,729.9,64209
182,28121.8,1163.1,175684
183,0.0,4.2,7067
184,12052.8,30.9,18749
185,24044.0,616.0,65294
186,25952.9,798.0,66178
187,19632.9,210.0,15728
188,12068.1,448.0,13841
189,0.0,532.0,65056
190,25670.4,563.5,82307
191,0.0,216.1,114352
192,22356.1,1216.8,31061
193,0.0,100.2,29714
194,17166.0,31.9,32839
195,0.0,0.0,52049
196,21792.6,2860.5,242317
197,0.0,574.0,38982
198,19813.3,406.0,46068
199,0.0,51.2,18166
200,20140.2,406.0,45019
201,21581.9,239.4,34102
202,0.0,72.4,20517
203,0.0,224.0,18681
204,0.0,196.0,16997
205,0.0,49.0,7920
206,0.0,160.9,46881
207,0.0,35.0,29872
208,16030.2,176.7,33857
209,0.0,350.0,37740
210,0.0,41.0,3543
211,0.0,0.0,50486
212,0.0,190.4,93159
213,9234.1,61.8,41065
214,0.0,0.0,62278
215,0.0,49.4,24968
216,0.0,43.4,13003
217,0.0,54.5,17236
218,0.0,76.5,32280
219,0.0,12.3,9285
220,0.0,132.3,27762
221,0.0,81.5,25830
222,0.0,0.0,16575
223,27897.1,48.0,9451
224,21305.8,0.0,99090
225,13680.9,141.9,61904
226,0.0,67.5,9529
227,0.0,183.8,25535
228,0.0,17.4,28755
229,15491.4,39.0,12011
230,0.0,1.0,5350
231,0.0,22.9,15274
232,0.0,77.3,15682
233,5026.1,137.0,38137
234,0.0,4.9,11302
235,17172.7,83.3,139835
236,16765.0,197.6,22181
237,0.0,6.6,13099
238,0.0,136.9,38473
239,0.0,34.6,8771
240,0.0,100.9,15359
241,17963.3,509.2,38793
242,0.0,7.8,25134
243,0.0,25.2,25246
244,0.0,8.8,21593
245,0.0,1.0,6080
246,0.0,1.4,6213
247,0.0,98.8,30743
248,0.0,0.6,3574
249,0.0,28.4,8395
250,0.0,3.3,6602
251,0.0,36.6,14657
252,0.0,21.7,5650
253,16380.7,51.8,8286
254,16217.8,19.7,16239
255,0.0,4.0,8161
256,0.0,3.1,9647
257,0.0,27.9,7084
258,0.0,22.8,6828
259,0.0,2.4,6970
260,0.0,2.6,8669
261,0.0,3.6,5309
262,0.0,12.4,6035
263,0.0,266.3,73677
264,0.0,37.9,28401
265,0.0,1.0,2539
266,0.0,10.8,19597
267,0.0,20.9,32992
268,0.0,62.6,25314
269,0.0,163.7,41835
270,0.0,23.7,36979
271,15877.8,263.5,55476
272,24110.1,571.2,134786
273,0.0,68.0,46974
274,19892.9,267.2,71727
275,0.0,141.6,31923
276,0.0,220.7,44080
277,13104.9,213.6,48403
278,5802.5,385.9,43213
279,41634.1,882.0,52541
280,0.0,39.2,23517
281,0.0,17.3,21630
282,34727.3,0.0,94523
283,0.0,0.0,0
284,0.0,0.0,0
285,0.0,0.0,0
286,29507.0,747.2,64124
