,shopname,meituan_id,dianping_id,address,lat,lon,google_road,google_qu,dianping_road,dianping_qu,meituan_category,dianping_category1,dianping_category2,dianping_price,telephone,problem,review_counts,sales_volume,sales_revenue,cum_sales_volume,rating
0,东来顺（顺义店）,92499153,61532418,顺义区胜利街道府前西街10号（金百万二层）,40.129715,116.648254,10,Fu Qian Xi Jie,顺义,"顺义区,顺义",火锅,涮羊肉,涮羊肉,137,010-61479055,1,886.285714286,155,39672.6985714,5610.57142857,5
1,米莉蛋糕（崇光百货店）,51329649,26984570,西城区庄胜崇光百货门口报亭,39.961884,116.30317,6号,Xuanwumen Outer Street,万柳,"海淀区,万柳",甜点饮品,面包甜点,面包甜点,,15001027599,0,176,33,5594,1265.5,4
2,阳澄湖大闸蟹（星河苑订购店）,3302242,26986424,丰台区马家堡西路星河苑小区2号院北侧底商（龙文学校西50米）,39.85341,116.37167,Majiapu West Road,Fengtai Qu,马家堡/角门,"丰台区,马家堡/角门",江浙菜,江浙菜,本帮江浙菜,120,010-68015620,1,0,41.5,10727,1892,4
3,鱼众不同（万泉庄路店）,286649,2493826,海淀区万泉庄路人民大学西门外（第十九中学南门对面）,39.96804,116.30537,Wanquanzhuang Road,Haidian Qu,苏州桥,"海淀区,苏州桥",川湘菜,北京菜,北京菜,53,010-57115362,1,7509.6,219.666666667,18581.525,5593.33333333,4.92027271759
4,玉林串串香火锅（西小口店）,5727280,,海淀区西小口路西小口地铁站西北口斜对面永发生活超市底商（近西小口地铁A口）（空竹阁西20米）,40.046845,116.351658,Xi Xiao Kou Road,Haidian,,,火锅,,,,,,209,9,801.875,635,4.8
5,英伦时光（通罗斯福店）,4492556,,通州区九棵树罗斯福广场B1FZ075（八通线九棵树地铁站，罗斯福商场北广场东步行梯，麦当劳斜对面）,39.89016,116.657585,China,Tongzhou,,,甜点饮品,,,,,,2948,49,656,1184,4
6,天润苑食府,41621993,,顺义区天北路罗马湖向北2公里，董各庄桥东北角，天北路与水坡南街一巷交口东南角（东行100米）,40.1009321,116.5236338,China,顺义区,,,其他美食,,,,,,70,1,80,25.5,4.5
7,杏花草莓采摘园,42244048,,昌平区北七家镇未来科技城绿地中央广场秦北路北200米杏花草莓采摘园(未来科技城秦北路北200米杏花草莓采摘园),40.1167466,116.3844161,Dingsi Road,Changping Qu,,,农家乐,,,,,,0,0,0,8,4.5
8,悠舍人家采摘园,95428421,,昌平区定泗路与上承路交叉口西沙农业园d27号棚（温度水城东侧，靠近中央戏剧学院北京邮电大学）,40.113851,116.382808,Dingsi Road,Changping Qu,,,农家乐,,,,,,21,2,300,17,4
9,印度飞饼,42596972,,延庆区东顺城街5号院，在老熟人手机大卖场往北3米左右（胜利街环球新意西门对面，杨家胡同路口）,40.4608555,115.9749766,Dong Shun Cheng Jie,Yanqing Qu,,,小吃快餐,,,,,,6.4,0.333333333333,1.93166666667,20,3.9
