	shopname	meituan_id	dianping_id	address	lat	lon	google_road	google_qu	dianping_road	dianping_qu	meituan_category	dianping_category1	dianping_category2	dianping_price	telephone	problem	reviews	本月销量	本月销售额	本月累计销量	jaccard_entropy	same_cat_ratio	degreeCus	degreeDist	avgCusEntro	numStoreCusVisted	cusEigen	dEigen	fiter_flag	商家评分	Income_entropy	Num_Unique_Customers	popularity
0	东来顺（顺义店）	92499153	61532418.0	顺义区胜利街道府前西街10号（金百万二层）	40.129715	116.648254	10	Fu Qian Xi Jie	顺义	顺义区,顺义	火锅	涮羊肉	涮羊肉	137.0	010-61479055	1.0	886.285714286	155.0	39672.6985714	5610.57142857	2.38516641652	0.230603448276	0.847395399496	408.189867878	0.406158568496	2.58698727016	0.0188936663056	0.00830250864717	1	5.0	3.07205870484	1414	289.581741397
1	鱼众不同（万泉庄路店）	286649	2493826.0	海淀区万泉庄路人民大学西门外（第十九中学南门对面）	39.96804	116.30537	Wanquanzhuang Road	Haidian Qu	苏州桥	海淀区,苏州桥	川湘菜	北京菜	北京菜	53.0	010-57115362	1.0	7509.6	219.666666667	18581.525	5593.33333333	2.38007436897	0.105970149254	0.884750265243	415.368947429	0.670970813478	3.37651122625	0.0197265364967	0.00844852983666	1	4.92027271759	3.68170965563	579	350.594811321
2	玉林串串香火锅（西小口店）	5727280		海淀区西小口路西小口地铁站西北口斜对面永发生活超市底商（近西小口地铁A口）（空竹阁西20米）	40.046845	116.351658	Xi Xiao Kou Road	Haidian			火锅						209.0	9.0	801.875	635.0	2.24659419448	0.258620689655	0.187657314967	175.359465413	0.485092648165	2.8625	0.00418403816083	0.00356678005145	1	4.8	2.52633185041	80	
3	英伦时光（通罗斯福店）	4492556		通州区九棵树罗斯福广场B1FZ075（八通线九棵树地铁站，罗斯福商场北广场东步行梯，麦当劳斜对面）	39.89016	116.657585	China	Tongzhou			甜点饮品						2948.0	49.0	656.0	1184.0	2.32084850735	0.13982300885	1.42182081382	379.355921716	0.832386058316	4.44863731656	0.031701149214	0.0077160313576	1	4.0	4.20131786815	477	
4	悠舍人家采摘园	95428421		昌平区定泗路与上承路交叉口西沙农业园d27号棚（温度水城东侧，靠近中央戏剧学院北京邮电大学）	40.113851	116.382808	Dingsi Road	Changping Qu			农家乐						21.0	2.0	300.0	17.0	2.02518689682	0.0	0.104204346833	101.388664709	0.564973058277	3.7	0.00232335714572	0.00206222724205	1	4.0	1.50478828368	20	
5	猫猫咪呀港式甜品	42042574		昌平区东关二条石油大学阳光学生公寓2楼底商（阳光麦当劳胡同里400米,从再东兴化妆品店上二楼）	40.2233526	116.2429921	Dongguan 2nd Alley	Changping			甜点饮品						72.0	0.0	6.06666666667	49.0	2.0456861654	0.108108108108	0.134281046714	306.806511787	0.901962284897	4.91666666667	0.00299395216129	0.00624038938143	1	3.8	2.02280852941	12	
6	格林城堡	99073326		昌平区南北庄路南郝庄2号口底商2号店	40.220884	116.210535	Nanbeizhuang Road	Changping Qu			甜点饮品						66.0	8.5	622.35	55.5	1.46246027081	0.142857142857	0.130220522274	83.2437469957	0.644407886788	2.57894736842	0.00290341804481	0.00169316287258	1	3.6	2.15456185261	19	
7	明轩草莓采摘园（明轩草莓采摘园）	41097431		昌平区兴寿镇东营村东营草莓园171.199.200.157.158.159.61大棚（昌金路麦庄桥西500米路南）	40.221755	116.412727	Xingshouzhen	Changping			农家乐						678.0	0.0	0.0	542.0	2.20446691958	0.0	0.188568614872	6.82857767622	0.577142906694	2.87301587302	0.00420435665244	0.000138892044282	1	3.6	2.28962609322	63	
8	香草香草云南原生态火锅（房山长阳店）	108999515	67852758.0	房山区长阳镇长兴街11号院1号楼103室（首创奥特莱斯对面，合景领峰底商08-1）	39.769188	116.186035			良乡	房山区,良乡	火锅	火锅	火锅	109.0	010-50824050	1.0	12.0	11.0	1002.1925	674.0	1.25350878275	0.166666666667	0.0584922227034	71.5397745403	0.277258872224	1.7	0.001304152156	0.00145510617357	1	4.56666666667	1.35923670067	10	9.1944266055
9	膳宜坊（长阳京投港店）	122462769	76729698.0	房山区长政南街1号院1号楼2层（长阳地铁B出口）	39.76326	116.21326			长阳镇	房山区,长阳镇	其他美食	湘菜	湘菜	76.0	010-50875208	1.0	7.0	18.0	178.27	88.0	1.67378739041	0.0526315789474	0.0461969030457	512.571498161	0.706225120027	2.72727272727	0.00103001369965	0.0104256122718	1	4.6	2.2718685127	11	2.34565789474
