meituan_id,telephone,overlap,dianping_id,price,latitude,longitude,categoryName,categories,regionName,regions,name,branchName,problem
62795215,15910946866,0.666666666667,27315936,N/A,39.90833,116.6416,面包甜点,面包甜点,通州北苑,"通州区,通州北苑",唯美cake工坊,N/A,0
92499153,010-61479055,1,61532418,137,40.129715,116.648254,涮羊肉,涮羊肉,顺义,"顺义区,顺义",东来顺,顺义店,1
51329649,15001027599,0.571428571429,26984570,N/A,39.961884,116.30317,面包甜点,面包甜点,万柳,"海淀区,万柳",米莉蛋糕,万柳店,0
286649,010-57115362,1,2493826,53,39.96804,116.30537,北京菜,北京菜,苏州桥,"海淀区,苏州桥",鱼众不同,万泉庄路店,1
372107,010-84014399,0.571428571429,82692266,72,39.926018,116.410545,川菜,川菜,沙滩/美术馆灯市口,"东城区,沙滩/美术馆灯市口",太极虎,美术馆店,1
95795780,13552512526,1,65677021,N/A,39.80366,116.57,面包甜点,面包甜点,通州区,通州区,开菲尔现酿酸奶,N/A,1
76665721,17710535286,1,41734122,27,39.94686,116.729836,川菜/家常菜,川菜/家常菜,宋庄,"通州区,宋庄",鸿堂川菜,N/A,1
42652573,010-63916391,1,19190871,351,39.895412,116.3758,自助餐,自助餐,宣武门,"西城区,宣武门",北京粤财JW万豪酒店JW Kitchen,N/A,1
76806666,15076701833,1,48111881,16,40.137413,116.644,小吃快餐,小吃快餐,顺义,"顺义区,顺义",驴肉火烧,西门店,1
364629,010-84228548,1,4294133,69,39.957165,116.41988,新疆菜,新疆菜,和平里,"东城区,和平里",丝路印象新疆餐厅,和平里店,1
41428455,13691143193,1,24109929,16,40.38771,116.86233,快餐简餐,快餐简餐,行宫街,"密云镇,行宫街",莫高拉面,御东园店,1
2583632,010-87587758,1,10657482,42,39.8331,116.3691,自助餐,"自助餐,火锅",公益西桥,"丰台区,公益西桥",丁丁洋回转自助火锅,公益西桥店,1
1663856,010-61344391,1,6089805,100,39.643425,115.62149,其他中餐,中餐,十渡镇,"房山区,十渡镇",十渡勋燕之家餐厅,N/A,1
66868525,13522241184,0.125,21160811,46,39.93512,116.67368,烤鱼,烤鱼,新华大街,"通州区,新华大街",重庆家乐食府巫山烤鱼,焦王庄店,0
