districtID,districtNAME,districtProvince,districtRegion,Perimeter,Area,Economy
1,榆垡镇,北京市,大兴区,83832.96917719999,231840154.91299998760,179.2
2,安定镇,北京市,大兴区,58176.93573420000,133186161.06200000644,59.1
3,石楼镇,北京市,房山区,51556.69383560000,72080284.91150000691,24.9
4,黄村地区（黄村镇）,北京市,大兴区,15298.25820740000,7393675.84987000003,883.3
5,采育镇,北京市,大兴区,57715.14220040000,119853889.85999999940,196.5
6,窦店镇,北京市,房山区,69484.56385110000,110334780.86300000548,280.5
7,魏善庄镇,北京市,大兴区,57630.28462100000,134860420.54600000381,92.3
8,琉璃河镇,北京市,房山区,84167.04514730000,188346356.04300001264,72.7
9,星城街道,北京市,房山区,4326.41940986000,1143826.40335000004,
10,良乡镇,北京市,房山区,39535.89377850000,61772745.51340000331,100.6
11,长子营镇,北京市,大兴区,60346.31242870000,98836138.21040000021,57.9
12,迎风街道,北京市,房山区,16864.42610610000,10054963.90980000049,
13,新镇街道,北京市,房山区,4385.03540163000,960126.89499099995,83.6
14,青云店镇,北京市,大兴区,59390.04535790000,118581600.90500000119,226.2
15,林校路街道,北京市,大兴区,45734.70701300000,65907940.57320000231,535.7
16,阎村镇,北京市,房山区,52241.83723700000,78151576.37899999321,187.8
17,新镇,北京市,房山区,5532.51822154000,1736548.17185999989,
18,西潞街道,北京市,房山区,21491.74816570000,14797572.15870000049,648.7
19,周口店镇,北京市,房山区,71127.04963179999,204797813.41999998689,39.7
20,拱辰街道,北京市,房山区,26805.86396250000,26771874.62009999901,920.1
21,城关街道,北京市,房山区,92786.00001290000,115794343.47900000215,505.2
22,东风街道,北京市,房山区,27306.26648880000,27254159.26220000163,
23,马驹桥镇,北京市,通州区,85293.60054460001,149300284.48300001025,479.2
24,十渡镇,北京市,房山区,94474.17076130000,324423248.46200001240,11.2
25,黄村地区,北京市,大兴区,40187.69400720000,66698352.69489999861,
26,瀛海镇,北京市,大兴区,106440.62364400001,178041546.52900001407,358.2
27,东高地街道,北京市,丰台区,12705.08840220000,5456000.98532999959,187.937062937063
28,南窖乡,北京市,房山区,41143.19723740000,67437644.13500000536,2.9
29,霞云岭乡,北京市,房山区,90638.92696800000,350423584.58700001240,3.8
30,长阳镇,北京市,房山区,77204.62914710000,161435186.46399998665,1002.9
31,亦庄地区（亦庄镇）,北京市,大兴区,46149.66923720000,67380827.67479999363,476.3
32,南苑街道,北京市,丰台区,40949.93523930000,29583012.03249999881,225.524475524476
33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000,50516079.58320000023,588.2
34,云岗街道,北京市,丰台区,19764.24991620000,9705979.49613000080,150.34965034965
35,青龙湖镇,北京市,房山区,89598.07437520000,162344896.03299999237,95.7
36,小红门地区（乡）,北京市,朝阳区,26237.50297550000,20063201.53090000153,1811.98762277283
37,马家堡街道,北京市,丰台区,15125.84387710000,9331227.94074999914,1127.62237762238
38,南苑乡,北京市,丰台区,32970.63375470000,27706773.89699999988,1616.25874125874
39,台湖镇,北京市,通州区,66163.30953499999,137103801.09099999070,810.4
40,西罗园街道,北京市,丰台区,16080.09295020000,4677252.94436999969,638.986013986014
41,十八里店地区（乡）,北京市,朝阳区,39917.99572090000,43424207.86180000007,4221.3997361193
42,东铁匠营街道,北京市,丰台区,24777.57800140000,12679954.02380000055,2067.30769230769
43,方庄地区,北京市,丰台区,10993.12432890000,5431987.20144999959,977.272727272727
44,云岗,北京市,丰台区,24432.69488650000,14193179.60209999979,
45,右安门街道,北京市,丰台区,12149.52966900000,6376175.61875000037,751.748251748252
46,河北镇,北京市,房山区,66899.21305880000,116826122.19599999487,10.3
47,宛平地区,北京市,丰台区,37277.99745650000,35671145.18339999765,338.286713286713
48,潘家园街道,北京市,朝阳区,9719.33954049000,4207445.65493999980,390.854473029523
49,张家湾镇,北京市,通州区,72779.03807000000,179071676.12599998713,513.8
50,白纸坊街道,北京市,西城区,9382.20063791000,5209407.86581000034,1157
51,陶然亭街道,北京市,西城区,8802.01039075000,3952511.79705999978,437
52,王佐镇,北京市,丰台区,130083.55053700000,191239214.97499999404,225.524475524476
53,牛街街道,北京市,西城区,7569.75440735000,2512871.19566000020,3553
54,天桥街道,北京市,西城区,7950.72588930000,2994836.91374999983,245
55,永顺镇,北京市,通州区,9484.52268015000,4980317.60587999970,925.3
56,王四营地区（乡）,北京市,朝阳区,25565.10960780000,24980860.90940000117,2507.98286860611
57,梨园镇,北京市,通州区,29987.04559970000,32480719.18560000136,1217.3
58,天坛街道,北京市,东城区,19257.97138460000,12665728.01759999990,476.6
59,体育馆路街道,北京市,东城区,8118.00203485000,3243678.85433000000,288.4
60,龙潭街道,北京市,东城区,10758.87462050000,5252431.72776000015,539.1
61,豆各庄地区（乡）,北京市,朝阳区,30582.85176040000,23690439.32330000028,617.99577862782
62,黑庄户地区（乡）,北京市,朝阳区,32782.38020350000,41938881.01969999820,1263.41994132789
63,花乡乡,北京市,丰台区,71126.37857920000,167517783.35400000215,2443.18181818182
64,广安门外街道,北京市,西城区,13688.78147470000,9237382.68735999987,3511
65,椿树街道,北京市,西城区,5489.63144784000,1811169.28154000011,1834
66,广安门内街道,北京市,西城区,8552.68465524000,4134015.69725000020,13450
67,大栅栏街道,北京市,西城区,5745.84874923000,2114320.80333000002,150
68,前门街道,北京市,东城区,5965.70603490000,1826148.68018999998,279.7
69,东花市街道,北京市,东城区,8637.79131753000,2726678.89330000011,305.5
70,玉桥街道,北京市,通州区,19148.15825770000,18143383.49049999937,473
71,鲁谷街道,北京市,石景山区,16411.80986160000,12310701.79749999940,1895.65088
72,八宝山街道,北京市,石景山区,12456.79670430000,5378565.03763999976,186.73045
73,史家营乡,北京市,房山区,61864.36151540000,191063298.50999999046,11.1
74,北苑街道,北京市,通州区,14880.69360700000,10569101.65660000034,98.3
75,融街街道,北京市,西城区,10684.73862130000,6723665.79263000004,469053
76,建国门街道,北京市,东城区,8775.79791693000,4573029.84102000017,13190.2
77,永定路街道,北京市,海淀区,2233.90096043000,239385.97525900000,483.1
78,月坛街道,北京市,西城区,11806.81261860000,7094891.75167000014,211812
79,羊坊店街道,北京市,海淀区,18888.52729850000,11262280.37360000052,77056.8
80,佛子庄乡,北京市,房山区,102760.36888400000,256436185.28099998832,6
81,万寿路街道,北京市,海淀区,18051.20100030000,14536634.56980000064,5025.2
82,永定路街道,北京市,海淀区,7886.60781625000,2410339.25098000001,
83,老山街道,北京市,石景山区,12856.18775530000,6510053.15335999988,231.03354
84,西长安街道,北京市,西城区,11365.23423860000,6853204.01145999972,12784
85,管庄地区（乡）,北京市,朝阳区,24321.53059440000,17873881.15670000017,2342.55542717036
86,东华门街道,北京市,东城区,12669.84283290000,9415539.49837999977,5146.5
87,朝阳门街道,北京市,东城区,5859.72445184000,2021445.90668000001,19223.7
88,大安山乡,北京市,房山区,49182.75665730000,107741234.53499999642,1.2
89,新华街道,北京市,通州区,9855.78516370000,4310827.46367000043,19.8
90,潭柘寺镇,北京市,门头沟区,66989.55401360001,135396781.53400000930,39
91,八角街道,北京市,石景山区,15308.14285520000,8962498.53920000046,1312.02713
92,高碑店地区（乡）,北京市,朝阳区,32500.37059550000,39356938.54129999876,3566.5470663944
93,景山街道,北京市,东城区,7370.83771450000,2869292.37626999989,1080
94,六里屯街道,北京市,朝阳区,12914.33924720000,5178391.62091000006,1491.41838392844
95,团结湖街道,北京市,朝阳区,7066.65599443000,2028266.85890999995,1200.84894016307
96,潞城镇,北京市,通州区,64287.44657740000,121941329.09000000358,629.3
97,东四街道,北京市,东城区,6995.53120943000,2556250.90391999995,55834
98,永定镇,北京市,门头沟区,41104.95647790000,63447884.72190000117,648.9
99,甘家口街道,北京市,海淀区,15302.68053640000,11190525.46810000017,11049.2
100,田村路街道,北京市,海淀区,23013.24539640000,12863062.05810000002,622.2
101,新街口街道,北京市,西城区,12197.52703680000,6168140.42121000029,8633
102,八里庄街道,北京市,海淀区,13825.50250260000,10879855.97570000030,1441.1
103,什刹海街道,北京市,西城区,13532.27771510000,10061693.59620000049,978
104,龙泉镇,北京市,门头沟区,14618.56702160000,8621664.82774000056,103.5
105,交道口街道,北京市,东城区,8286.29229764000,2590771.66863000020,286.4
106,南磨房地区（乡）,北京市,朝阳区,61802.57892600000,60953359.75310000032,3515.11884625893
107,金顶街街道,北京市,石景山区,12751.04509730000,7087899.05661000032,138.01357
108,东辛房街道,北京市,门头沟区,15943.22201410000,9494734.07300999947,21.8
109,广宁街道,北京市,石景山区,15220.36802420000,9389429.23024999909,277.86678
110,安定门街道,北京市,东城区,7524.79893603000,3208429.72997999983,428.1
111,北新桥街道,北京市,东城区,8565.32206353000,4582836.40046999976,7262.2
112,展览路街道,北京市,西城区,15380.21932820000,9847156.91644999944,7684
113,东直门街道,北京市,东城区,9991.98166189000,3333064.09151999978,15307.4
114,平房地区（乡）,北京市,朝阳区,43765.91070340000,42348278.19129999727,1503.41830196005
115,永顺镇,北京市,通州区,45136.29900070000,48603730.97259999812,
116,城子街道,北京市,门头沟区,8761.54232897000,4020639.46288000001,54.1
117,紫竹院街道,北京市,海淀区,13566.43770690000,9728554.30463000014,3789.3
118,东风地区（乡）,北京市,朝阳区,34538.70381970000,19383569.06689999998,1081.70689684925
119,酒仙桥街道,北京市,朝阳区,9576.55729088000,2490011.66639999999,2765.12396928342
120,北下关街道,北京市,海淀区,14775.91686260000,10207376.53150000051,2546.6
121,左家庄街道,北京市,朝阳区,21571.50019820000,17016705.04050000012,4311.39912135636
