meituan_id,lat,lon,districtID,districtName,districtProvince,districtRegion,economy
92499153,40.1297150000,116.6482540000,173,胜利街道,北京市,顺义区,10232.32455280000
286649,39.9680400000,116.3053700000,139,万柳地区（海淀乡）,北京市,海淀区,23104.34331700000
5727280,40.0468450000,116.3516580000,156,西三旗街道,北京市,海淀区,25950.91468070000
4492556,39.8901600000,116.6575850000,70,玉桥街道,北京市,通州区,19148.15825770000
95428421,40.1138510000,116.3828080000,177,北七家镇,北京市,昌平区,57522.51096420000
42042574,40.2233526000,116.2429921000,196,城北街道,北京市,昌平区,24368.26308070000
99073326,40.2208840000,116.2105350000,195,城南,北京市,昌平区,18749.82209990000
41097431,40.2217550000,116.4127270000,213,兴寿镇,北京市,昌平区,88012.24250540001
108999515,39.7691880000,116.1860350000,30,长阳镇,北京市,房山区,77204.62914710000
122462769,39.7632600000,116.2132600000,30,长阳镇,北京市,房山区,77204.62914710000
116927052,39.7633170000,116.2133000000,30,长阳镇,北京市,房山区,77204.62914710000
113201037,39.7633170000,116.2133000000,30,长阳镇,北京市,房山区,77204.62914710000
42026401,39.9054220000,116.6423200000,74,北苑街道,北京市,通州区,14880.69360700000
76116363,39.9047200000,116.6395400000,74,北苑街道,北京市,通州区,14880.69360700000
102794601,39.9047280000,116.6393500000,74,北苑街道,北京市,通州区,14880.69360700000
96129887,39.9052770000,116.6417300000,74,北苑街道,北京市,通州区,14880.69360700000
99147098,39.6864300000,116.3202740000,15,林校路街道,北京市,大兴区,45734.70701300000
93941595,39.8059500000,116.4594000000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
95415958,39.8056370000,116.4599100000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
90476679,39.8056340000,116.4597240000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
91350849,39.8059500000,116.4594000000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
92931353,39.8055600000,116.4594100000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
66729216,39.8059500000,116.4594000000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
86552090,39.8059500000,116.4594000000,33,旧宫地区（旧宫镇）,北京市,大兴区,43299.87483490000
41714779,39.7889300000,116.3278400000,26,瀛海镇,北京市,大兴区,106440.62364400001
40241773,39.7881100000,116.3262250000,26,瀛海镇,北京市,大兴区,106440.62364400001
41427217,39.7878880000,116.3273300000,26,瀛海镇,北京市,大兴区,106440.62364400001
64443299,39.7891400000,116.3264900000,26,瀛海镇,北京市,大兴区,106440.62364400001
127607173,39.7879900000,116.3268800000,26,瀛海镇,北京市,大兴区,106440.62364400001
42555897,39.7865800000,116.3260400000,26,瀛海镇,北京市,大兴区,106440.62364400001
40397339,39.7881400000,116.3254800000,26,瀛海镇,北京市,大兴区,106440.62364400001
42583438,39.7877770000,116.3272800000,26,瀛海镇,北京市,大兴区,106440.62364400001
97703535,39.7224960000,116.1712650000,20,拱辰街道,北京市,房山区,26805.86396250000
98111699,39.7222980000,116.1720400000,20,拱辰街道,北京市,房山区,26805.86396250000
97106166,39.7222060000,116.1700600000,20,拱辰街道,北京市,房山区,26805.86396250000
104647074,39.7226830000,116.1720350000,20,拱辰街道,北京市,房山区,26805.86396250000
316533,39.8994520000,116.4001200000,86,东华门街道,北京市,东城区,12669.84283290000
313794,39.8001100000,116.4927700000,31,亦庄地区（亦庄镇）,北京市,大兴区,46149.66923720000
42122770,39.7913400000,116.3398360000,26,瀛海镇,北京市,大兴区,106440.62364400001
68603230,39.7913400000,116.3398360000,26,瀛海镇,北京市,大兴区,106440.62364400001
368566,39.9076540000,116.4491960000,106,南磨房地区（乡）,北京市,朝阳区,61802.57892600000
1046180,39.8798560000,116.3122400000,63,花乡乡,北京市,丰台区,71126.37857920000
1661734,40.0487560000,116.5890300000,161,机场街道,北京市,朝阳区,29685.51280220000
1471682,39.8484950000,116.4392850000,42,东铁匠营街道,北京市,丰台区,24777.57800140000
6608938,39.8981300000,116.2434400000,72,八宝山街道,北京市,石景山区,12456.79670430000
134715644,39.8975600000,116.2437800000,72,八宝山街道,北京市,石景山区,12456.79670430000
5166497,39.8978080000,116.2436600000,72,八宝山街道,北京市,石景山区,12456.79670430000
42646800,39.8892020000,116.4303900000,60,龙潭街道,北京市,东城区,10758.87462050000
