shop_id,mcc_detailed,mcc_merged
27447333,5691,11
27447336,5541,3
27447376,8021,9
27447387,5713,13
27447391,5944,8
27447397,5713,13
27447460,5992,16
27447532,5942,22
27447554,5722,14
27447758,5541,3
27447767,5411,12
27447840,5732,14
27447907,5714,13
27447983,5541,3
27448075,5691,11
27448097,5499,20
27448276,7538,2
27448344,5912,9
27448396,5411,12
27448414,5411,12
27448772,5812,10
27449027,7538,2
27449148,5733,16
27449273,5533,2
27449481,5533,2
27449677,5912,9
27449908,5691,11
27449916,5661,11
27449919,5691,11
27449920,5691,11
27449922,5691,11
27449956,7997,21
27450196,5732,14
27450412,5732,14
27450413,5722,14
27450510,5949,11
27450568,5411,12
27450939,5722,14
27450948,5722,14
27451098,5621,11
27451100,5621,11
27451140,5722,14
27451201,5211,18
27451286,5691,11
27451396,5992,16
27451432,5992,16
27451592,5732,14
27451602,5411,12
27451929,5999,0
27451972,5722,14
27452004,5732,14
27452097,5499,20
27452355,5411,12
27452536,5533,2
27452693,5944,8
27452884,5541,3
27452995,5912,9
27453040,5661,11
27453162,5722,14
27453272,5992,16
27453274,5812,10
27453409,7311,16
27453506,5912,9
27453512,5211,18
27453652,5499,20
27453657,5722,14
27453690,5499,20
27453854,7011,6
27453923,5462,20
27454082,7230,16
27454279,5691,11
27454282,8043,9
27454283,8043,9
27454287,5722,14
27454298,5532,2
27454349,8062,9
27454451,7230,16
27454553,5712,13
27454696,8043,9
27454718,5411,12
27454835,5912,9
27455054,5944,8
27455066,5944,8
27455245,5411,12
27455324,5977,9
27455365,5691,11
27455554,5661,11
27455613,5722,14
27455644,5722,14
27455663,5661,11
27455664,5912,9
27455673,5912,9
27455760,5912,9
27455791,5722,14
27455812,5912,9
27455909,5541,3
27456008,5691,11
27456183,5912,9
27456186,5912,9
27456187,5912,9
27456454,5912,9
27456502,5732,14
27456512,5714,13
27456575,5691,11
27456584,5912,9
27456617,5499,20
27456627,5912,9
27456698,5912,9
27456784,5912,9
27456801,5661,11
27456966,5722,14
27457009,5912,9
27457077,5722,14
27457080,5912,9
27457096,5912,9
27457114,5912,9
27457167,5912,9
27457184,5948,11
27457226,5912,9
27457241,5912,9
27457245,5912,9
27457278,5912,9
27457279,5912,9
27457339,5912,9
27457342,5411,12
27457376,5912,9
27457384,5912,9
27457398,5912,9
27457496,5912,9
27457497,5912,9
27457502,4812,15
27457515,5411,12
27457544,5691,11
27457546,5661,11
27457577,5912,9
27457616,5912,9
27457661,5912,9
27457695,5942,22
27457718,5912,9
27457760,5912,9
27457765,5912,9
27457769,5211,18
27457782,5912,9
27457795,5912,9
27457824,5411,12
27457825,5411,12
27457843,5499,20
27457853,5499,20
27457907,5912,9
27457909,5912,9
27457935,5912,9
27457943,5912,9
27457974,5714,13
27458027,5912,9
27458046,5211,18
27458050,5912,9
27458086,5992,16
27458110,5912,9
27458120,5912,9
27458140,5912,9
27458144,5912,9
27458170,5912,9
27458183,5499,20
27458185,5912,9
27458251,5661,11
27458260,5912,9
27458273,5211,18
27458338,5912,9
27458347,5912,9
27458358,5661,11
27458397,5912,9
27458474,5912,9
27458564,5912,9
27458576,5912,9
27458607,5912,9
27458616,5912,9
27458700,5912,9
27458749,5691,11
27458800,5912,9
27458946,5912,9
27458950,5912,9
27458951,5912,9
27458964,5912,9
27459024,5691,11
27459159,5912,9
27459200,5912,9
27459255,5912,9
27459270,5912,9
27459308,5912,9
27459327,5912,9
27459339,5912,9
27459393,5912,9
27459440,5691,11
27459476,5912,9
27459481,5912,9
27459494,5912,9
27459552,5912,9
27459575,5912,9
27459577,5912,9
27459578,5912,9
27459645,5912,9
27459646,8021,9
27459720,5944,8
27460024,5912,9
27460050,5211,18
27460078,5947,22
27460110,5912,9
27460225,8043,9
27460245,5691,11
27460253,5912,9
27460255,5912,9
27460416,5912,9
27460418,5912,9
27460429,5912,9
27460431,5912,9
27460503,5411,12
27460547,5812,10
27460610,5945,22
27460661,5411,12
27460687,5912,9
27460699,5912,9
27460707,5912,9
27460755,5912,9
27460771,5912,9
27460793,5912,9
27460809,5912,9
27460978,5912,9
27460989,5541,3
27460990,5691,11
27460997,5691,11
27461050,5912,9
27461072,5912,9
27461084,5912,9
27461088,5912,9
27461095,5912,9
27461174,5732,14
27461188,5912,9
27461203,5912,9
27461246,5912,9
27461263,5912,9
27461370,5912,9
27461408,5912,9
27461470,5912,9
27461486,5912,9
27461530,5944,8
27461542,5912,9
27461543,5912,9
27461625,5912,9
27461638,5912,9
27461659,5912,9
27461715,5912,9
27461722,5912,9
27461778,5912,9
27461781,5912,9
27461818,5912,9
27461923,5912,9
27461946,5944,8
27461955,5912,9
27461959,5912,9
27462047,5912,9
27462186,5912,9
27462199,5812,10
27462216,5912,9
27462240,5912,9
27462241,8043,9
27462294,5912,9
27462354,5912,9
27462357,5912,9
27462362,5912,9
27462462,5912,9
27462468,5912,9
27462471,5912,9
27462480,5912,9
27462538,7230,16
27462636,5912,9
27462772,8043,9
27462786,5812,10
27462799,5912,9
27462850,5912,9
27462856,5912,9
27462955,5941,11
27462956,5941,11
27462985,5992,16
27462999,5912,9
27463007,5912,9
27463013,5912,9
27463036,5912,9
27463050,5499,20
27463090,5912,9
27463094,5912,9
27463098,5912,9
27463149,5912,9
27463164,5722,14
27463193,5912,9
27463210,5912,9
27463249,5912,9
27463313,5912,9
27463385,5912,9
27463450,5912,9
27463492,5912,9
27463507,5912,9
27463558,5912,9
27463582,5912,9
27463722,5912,9
27463725,5912,9
27463726,5912,9
27463733,5912,9
27463734,5912,9
27463768,5411,12
27463777,5912,9
27463781,5812,10
27463814,7538,2
27463834,5912,9
27463858,5499,20
27463912,5912,9
27464033,5912,9
27464051,5411,12
27464053,5912,9
27464085,5999,0
27464087,5999,0
27464104,5944,8
27464203,5912,9
27464247,8043,9
27464248,8043,9
27464269,5950,13
27464277,5691,11
27464278,5691,11
27464279,5691,11
27464280,5912,9
27464314,5411,12
27464329,5532,2
27464403,5812,10
27464405,5691,11
27464408,5691,11
27464411,5691,11
27464513,5912,9
27464518,5712,13
27464527,5661,11
27464566,5912,9
27464599,5912,9
27464650,5977,9
27464692,5912,9
27464717,4812,15
27464778,5532,2
27464848,5912,9
27465007,5691,11
