shop_id,sdistrict_id
27447333,121
27447336,34
27447376,50
27447387,160
27447391,34
27447397,50
27447460,33
27447532,100
27447554,121
27447758,81
27447767,50
27447840,50
27447907,61
27447983,2
27448075,84
27448097,2
27448276,84
27448344,12
27448396,84
27448414,42
27448772,61
27449027,65
27449148,84
27449273,115
27449481,81
27449677,50
27449908,63
27449916,84
27449919,12
27449920,50
27449922,160
27449956,50
27450196,17
27450412,123
27450413,82
27450510,123
27450568,31
27450939,100
27450948,96
27451098,84
27451100,33
27451140,9
27451201,160
27451286,115
27451396,115
27451432,38
27451592,84
27451602,65
27451929,34
27451972,98
27452004,84
27452097,111
27452355,82
27452536,84
27452693,59
27452884,65
27452995,17
27453040,77
27453162,98
27453272,33
27453274,33
27453409,81
27453506,115
27453512,63
27453652,50
27453657,4
27453690,100
27453854,115
27453923,61
27454082,88
27454279,96
27454282,60
27454283,120
27454287,115
27454298,96
27454349,115
27454451,84
27454553,123
27454696,115
27454718,123
27454835,160
27455054,61
27455066,100
27455245,121
27455324,33
27455365,123
27455554,17
27455613,100
27455644,84
27455663,100
27455664,115
27455673,50
27455760,33
27455791,121
27455812,60
27455909,98
27456008,115
27456183,84
27456186,115
27456187,84
27456454,12
27456502,82
27456512,2
27456575,4
27456584,160
27456617,50
27456627,141
27456698,61
27456784,115
27456801,120
27456966,79
27457009,34
27457077,42
27457080,65
27457096,82
27457114,88
27457167,115
27457184,160
27457226,84
27457241,34
27457245,60
27457278,33
27457279,33
27457339,63
27457342,84
27457376,100
27457384,84
27457398,50
27457496,34
27457497,34
27457502,160
27457515,63
27457544,33
27457546,123
27457577,84
27457616,84
27457661,38
27457695,88
27457718,86
27457760,160
27457765,59
27457769,59
27457782,33
27457795,84
27457824,84
27457825,63
27457843,63
27457853,50
27457907,100
27457909,100
27457935,115
27457943,60
27457974,82
27458027,88
27458046,82
27458050,59
27458086,84
27458110,12
27458120,59
27458140,84
27458144,70
27458170,123
27458183,79
27458185,61
27458251,82
27458260,100
27458273,81
27458338,121
27458347,33
27458358,84
27458397,115
27458474,15
27458564,2
27458576,65
27458607,79
27458616,79
27458700,82
27458749,65
27458800,84
27458946,34
27458950,70
27458951,70
27458964,160
27459024,115
27459159,33
27459200,38
27459255,81
27459270,100
27459308,42
27459327,81
27459339,50
27459393,60
27459440,115
27459476,79
27459481,121
27459494,100
27459552,100
27459575,96
27459577,87
27459578,87
27459645,17
27459646,115
27459720,123
27460024,61
27460050,84
27460078,60
27460110,34
27460225,120
27460245,33
27460253,12
27460255,77
27460416,4
27460418,100
27460429,77
27460431,77
27460503,60
27460547,84
27460610,33
27460661,160
27460687,115
27460699,88
27460707,123
27460755,88
27460771,50
27460793,88
27460809,88
27460978,50
27460989,115
27460990,4
27460997,34
27461050,88
27461072,115
27461084,121
27461088,33
27461095,81
27461174,60
27461188,50
27461203,33
27461246,34
27461263,84
27461370,34
27461408,34
27461470,31
27461486,79
27461530,4
27461542,81
27461543,79
27461625,65
27461638,17
27461659,12
27461715,12
27461722,115
27461778,88
27461781,100
27461818,88
27461923,115
27461946,86
27461955,84
27461959,2
27462047,33
27462186,98
27462199,60
27462216,86
27462240,123
27462241,123
27462294,160
27462354,81
27462357,81
27462362,53
27462462,2
27462468,34
27462471,34
27462480,50
27462538,33
27462636,81
27462772,84
27462786,2
27462799,121
27462850,70
27462856,81
27462955,77
27462956,12
27462985,121
27462999,121
27463007,84
27463013,2
27463036,61
27463050,61
27463090,34
27463094,2
27463098,88
27463149,33
27463164,160
27463193,86
27463210,2
27463249,61
27463313,17
27463385,2
27463450,100
27463492,61
27463507,2
27463558,81
27463582,59
27463722,79
27463725,79
27463726,79
27463733,50
27463734,121
27463768,100
27463777,84
27463781,17
27463814,61
27463834,81
27463858,160
27463912,60
27464033,160
27464051,77
27464053,84
27464085,160
27464087,121
27464104,115
27464203,81
27464247,50
27464248,84
27464269,60
27464277,61
27464278,33
27464279,115
27464280,115
27464314,59
27464329,81
27464403,115
27464405,4
27464408,33
27464411,120
27464513,63
27464518,50
27464527,34
27464566,4
27464599,81
27464650,115
27464692,81
27464717,33
27464778,4
27464848,81
27465007,2
27465030,2
27465157,61
27465180,34
27465213,160
27465214,115
27465229,84
27465230,84
27465268,34
27465322,84
27465579,79
27465636,12
27465644,65
27465698,160
27465820,50
27465910,12
27465949,33
27465956,12
27465969,79
27465976,84
27466259,111
27466285,81
27466305,2
27466358,115
27466420,33
27466423,88
27466438,79
27466449,79
27466456,81
27466465,77
27466618,34
27466619,50
27466620,115
27466621,63
27466642,50
27466698,34
27466872,60
27466922,65
27466952,2
27467076,17
27467219,84
27467226,50
27467266,50
27467277,50
27467279,84
27467405,84
27467609,115
27467625,2
27467692,96
27467764,70
27467825,121
27467849,115
27467850,123
27467934,82
27467960,77
27468025,33
27468042,77
27468105,12
27468139,79
27468342,82
27468375,63
27468509,115
27468710,96
27468797,63
27468823,50
27468882,96
27468970,84
27468971,115
27469072,77
27469157,59
27469213,84
27469267,77
27469332,115
27469373,33
27469385,17
27469396,115
27469413,65
27469424,63
27469465,33
27469702,84
27469841,70
27469882,2
27469932,79
27469989,63
27469991,141
27470220,100
27470411,121
27470527,84
27470697,88
27470791,33
27470910,17
27470944,12
27470945,120
27470958,84
27471189,81
27471315,84
27471367,4
27471368,4
27471369,115
27471370,12
27471371,115
27471372,61
27471402,50
27471415,63
27471439,121
27471588,50
27471690,50
27471757,115
27471773,15
27471856,31
27471939,88
27472085,115
27472135,50
27472137,121
27472142,79
27472226,123
27472247,115
27472327,17
27472500,34
27472530,33
27472608,33
27472617,88
27472647,77
27472650,81
27472730,63
27472815,31
27472871,88
27472936,12
27472952,115
27473032,121
27473143,81
27473231,115
27473273,60
27473278,4
27473515,77
27473532,77
27473598,63
27473662,50
27473688,34
27473706,84
27473744,115
27473776,81
27473794,123
27473804,4
27473820,61
27473847,115
27473848,115
27474118,160
27474164,50
27474240,34
27474387,84
27474388,34
27474390,82
27474398,33
27474400,50
27474413,96
27474757,50
27474947,84
27475032,60
27475155,12
27475158,60
27475167,70
27475313,50
27475323,65
27475338,50
27475341,33
27475360,63
27475415,115
27475466,33
27475558,79
27475751,160
27475753,160
27475903,63
27476085,123
27476118,115
27476121,50
27476153,59
27476225,65
27476333,34
27476352,53
27476420,59
27476497,84
27476566,34
27476607,84
27476608,42
27476665,50
27476676,77
27476693,61
27476729,50
27476731,115
27476766,160
27476830,82
27476857,84
27476986,96
27477059,50
27477095,82
27477120,4
27477161,4
27477216,115
27477222,96
27477307,2
27477357,81
27477440,33
27477491,84
27477625,50
27477695,4
27477704,82
27477723,115
27477749,123
27478012,60
27478018,115
27478020,98
27478149,70
27478151,70
27478310,96
27478343,100
27478390,63
27478482,12
27478483,61
27478630,84
27478800,115
27479125,81
27479224,81
27479233,96
27479327,121
27479367,84
27479368,84
27479376,160
27479379,87
27479436,65
27479484,121
27479621,50
27479654,61
27479697,63
27479757,33
27479798,79
27479799,79
27479870,17
27479904,123
27480051,12
27480094,50
27480121,121
27480250,88
27480463,50
27480536,50
27480560,160
27480615,61
27480681,160
27480835,65
27480845,50
27480854,65
27480887,96
27480947,50
27481067,17
27481179,17
27481225,50
27481303,50
27481344,50
27481350,33
27481467,50
27481488,121
27481510,17
27481516,2
27481594,61
27481665,70
27481666,115
27481736,84
27482156,42
27482157,63
27482158,50
27482174,34
27482198,33
27482276,61
27482520,17
27482534,33
27482557,77
27482643,65
27482655,61
27482856,34
27483034,60
27483293,61
27483296,160
27483298,81
27483312,12
27483435,77
27483517,123
27483665,100
27483745,96
27483754,61
27483813,70
27484095,33
27484252,65
27484277,33
27484430,65
27484623,123
27484722,61
27484723,96
27484804,88
27484981,65
27485064,100
27485088,50
27485129,84
27485150,17
27485186,60
27485505,65
27485510,60
27485666,60
27485896,50
27485965,31
27486115,77
27486118,77
27486135,63
27486180,31
27486487,65
27486535,34
27486640,65
27486660,12
27486856,81
27486865,50
27486875,87
27486900,63
27486909,31
27486920,50
27486963,131
27486995,33
27487025,84
27487312,70
27487353,34
27487381,65
27487397,63
27487516,50
27487577,60
27487621,15
27487622,160
27487695,31
27487835,50
27487851,4
27488011,50
27488057,100
27488173,96
27488307,88
27488504,84
27488548,115
27488693,33
27488742,59
27488767,100
27488798,87
27488840,82
27488889,17
27488921,63
27488922,63
27488953,34
27489179,31
27489555,59
27489684,63
27489685,61
27489706,88
27489768,33
27489887,96
27489920,115
27490033,84
27490074,121
27490105,65
27490137,115
27490143,96
27490144,160
27490151,2
27490152,88
27490180,33
27490251,77
27490582,84
27490602,120
27490707,63
27490709,98
27490710,4
27490742,65
27490812,42
27490977,60
27490998,84
27491041,115
27491203,34
27491208,141
27491241,79
27491283,123
27491335,12
27491391,2
27491404,2
27491824,33
27491903,61
27491949,115
27492061,100
27492099,84
27492221,88
27492227,50
27492281,160
27492316,84
27492347,17
27492376,33
27492378,50
27492384,4
27492389,4
27492390,63
27492396,12
27492401,81
27492442,63
27492498,17
27492579,82
27492751,88
27492852,88
27492874,17
27493082,17
27493188,2
27493242,59
27493291,50
27493303,50
27493356,31
27493903,60
27493957,50
27494088,115
27494098,59
27494190,33
27494191,33
27494283,160
27494368,60
27494454,4
27494634,50
27494635,160
27494648,50
27494697,15
27494705,2
27494757,82
