customer_id,gender,marital,education,job_status,income,age
10822390,M,UNKNOWN,COLLEGE,UNEMPLOYED,0,37
11571719,M,UNKNOWN,PRIMARY SCHOOL,UNEMPLOYED,1500,42
13366132,M,UNKNOWN,UNIVERSITY,UNEMPLOYED,2500,38
15228589,M,UNKNOWN,UNIVERSITY,UNEMPLOYED,2300,29
16377981,F,UNKNOWN,COLLEGE,UNEMPLOYED,4000,38
17577421,M,UNKNOWN,COLLEGE,UNEMPLOYED,1400,33
20434882,M,UNKNOWN,PRIMARY SCHOOL,UNEMPLOYED,2500,25
20510808,M,UNKNOWN,UNIVERSITY,UNEMPLOYED,0,25
21689060,M,UNKNOWN,COLLEGE,UNEMPLOYED,658,34
22387066,M,UNKNOWN,COLLEGE,UNEMPLOYED,3000,40
23800581,M,UNKNOWN,COLLEGE,UNEMPLOYED,2200,23
25339675,M,UNKNOWN,PRIMARY SCHOOL,UNEMPLOYED,1300,22
25718190,M,UNKNOWN,COLLEGE,UNEMPLOYED,2500,27
5129807,M,DIVORCED,UNEDUCATED,UNEMPLOYED,10000,41
5143603,M,DIVORCED,UNEDUCATED,UNEMPLOYED,1500,43
5441799,F,DIVORCED,COLLEGE,UNEMPLOYED,500,43
6443143,M,DIVORCED,UNEDUCATED,UNEMPLOYED,1600,58
6879365,M,DIVORCED,MIDDLE SCHOOL,UNEMPLOYED,0,35
6967050,F,DIVORCED,COLLEGE,UNEMPLOYED,891,36
7205816,F,DIVORCED,COLLEGE,UNEMPLOYED,1000,33
8186728,F,DIVORCED,UNIVERSITY,UNEMPLOYED,5000,48
8213054,M,DIVORCED,MIDDLE SCHOOL,UNEMPLOYED,0,60
8612084,F,DIVORCED,UNIVERSITY,UNEMPLOYED,0,39
8906481,F,DIVORCED,COLLEGE,UNEMPLOYED,2000,35
10967943,F,DIVORCED,COLLEGE,UNEMPLOYED,0,54
11275162,F,DIVORCED,COLLEGE,UNEMPLOYED,724,53
11289650,M,DIVORCED,UNIVERSITY,UNEMPLOYED,0,43
12513677,F,DIVORCED,UNEDUCATED,UNEMPLOYED,3500,41
14123784,M,DIVORCED,COLLEGE,UNEMPLOYED,0,51
14294633,F,DIVORCED,PRIMARY SCHOOL,UNEMPLOYED,1700,43
14334216,M,DIVORCED,COLLEGE,UNEMPLOYED,0,53
14428303,M,DIVORCED,HIGH SCHOOL,UNEMPLOYED,0,59
14847450,M,DIVORCED,COLLEGE,UNEMPLOYED,0,34
15772346,F,DIVORCED,UNIVERSITY,UNEMPLOYED,2500,34
16072453,M,DIVORCED,UNIVERSITY,UNEMPLOYED,1750,40
16253944,F,DIVORCED,MIDDLE SCHOOL,UNEMPLOYED,1500,60
18246304,F,DIVORCED,MASTERS,UNEMPLOYED,0,58
18607134,F,DIVORCED,HIGH SCHOOL,UNEMPLOYED,2000,41
20417535,F,DIVORCED,UNIVERSITY,UNEMPLOYED,25000,43
20514996,M,DIVORCED,COLLEGE,UNEMPLOYED,1500,51
20801291,M,DIVORCED,MIDDLE SCHOOL,UNEMPLOYED,0,52
22140419,F,DIVORCED,UNIVERSITY,UNEMPLOYED,1500,36
22902140,F,DIVORCED,MIDDLE SCHOOL,UNEMPLOYED,1300,44
23466212,F,DIVORCED,COLLEGE,UNEMPLOYED,1200,62
23608147,F,DIVORCED,UNIVERSITY,UNEMPLOYED,4500,54
24980352,M,DIVORCED,COLLEGE,UNEMPLOYED,2000,28
25017680,M,DIVORCED,COLLEGE,UNEMPLOYED,10000,49
25057935,M,DIVORCED,COLLEGE,UNEMPLOYED,2000,38
25353561,M,DIVORCED,COLLEGE,UNEMPLOYED,2000,40
25398287,M,DIVORCED,UNIVERSITY,UNEMPLOYED,900,51
25407652,F,DIVORCED,COLLEGE,UNEMPLOYED,1700,46
25693940,F,DIVORCED,COLLEGE,UNEMPLOYED,1500,44
6920677,F,WIDOWED,UNEDUCATED,UNEMPLOYED,4500,70
17040599,M,WIDOWED,COLLEGE,UNEMPLOYED,0,38
26408194,F,WIDOWED,COLLEGE,UNEMPLOYED,1000,55
1705582,F,MARRIED,COLLEGE,UNEMPLOYED,1000,43
