IL,Aksigorta,GDP,,,
ADANA,4038323629,41813831.00,,,
ADIYAMAN,103319218,8095882.00,,,
AFYON,523553773,12876539.00,,,0.989801568
AGRI,17125599,4669731.00,,,
AKSARAY,79327808,6991160.00,,,
AMASYA,213610015,6089802.00,,,
ANKARA,9856508051,186977438.00,,,
ANTALYA,4097889274,65038931.00,,,
ARDAHAN,8977884,1415843.00,,,
ARTVIN,127474743,3728884.00,,,
AYDIN,1119935071,19723034.00,,,
BALIKESIR,1093259806,26102201.00,,,
BARTIN,80264193,3269613.00,,,
BATMAN,20985503,6517186.00,,,
BAYBURT,16035182,1238400.00,,,
BILECIK,115558323,6827072.00,,,
BINGOL,9697133,3404742.00,,,
BITLIS,8420155,4073177.00,,,
BOLU,140854400,8715419.00,,,
BURDUR,149250329,6000838.00,,,
BURSA,3486372398,82779436.00,,,
CANAKKALE,613078561,13504964.00,,,
CANKIRI,65183253,3563577.00,,,
CORUM,604511500,9048571.00,,,
DENIZLI,1532483289,24055631.00,,,
DIYARBAKIR,253295246,20751651.00,,,
DUZCE,146990368,8496056.00,,,
EDIRNE,287201350,9324917.00,,,
ELAZIG,125526007,9633676.00,,,
ERZINCAN,179565176,5090175.00,,,
ERZURUM,254708057,11813489.00,,,
ESKISEHIR,921089847,23232720.00,,,
GAZIANTEP,2735120652,35077012.00,,,
GIRESUN,301542561,6398467.00,,,
GUMUSHANE,48905636,2641170.00,,,
HATAY,1435704091,25243822.00,,,
IGDIR,13634275,2626456.00,,,
ISPARTA,238738974,8773535.00,,,
ISTANBUL,55374492105,622761611.00,,,
IZMIR,8753954790,127429459.00,,,
KAHRAMANMARAS,972081799,17063050.00,,,
KARABUK,241445347,4861472.00,,,
KARAMAN,139981626,5847774.00,,,
KARS,24950378,3713481.00,,,
KASTAMONU,245343533,7339549.00,,,
KAYSERI,973148982,30273400.00,,,
KILIS,6094437,1756295.00,,,
KIRIKKALE,133059979,5346655.00,,,
KIRKLARELI,235690880,9535339.00,,,
KIRSEHIR,155131873,3931176.00,,,
KOCAELI,6114794266,73963086.00,,,
KONYA,1462445060,43933757.00,,,
KUTAHYA,560863745,11321384.00,,,
MALATYA,623390170,11649179.00,,,
MANISA,1005543372,33137759.00,,,
MARDIN,52592424,10420739.00,,,
MUGLA,1229807736,23829846.00,,,
MUS,17940005,4833214.00,,,
NEVSEHIR,300321488,5425117.00,,,
NIGDE,87511543,6013150.00,,,
ORDU,698192989,10608680.00,,,
OSMANIYE,334618158,7984770.00,,,
RIZE,201750466,7346100.00,,,
SAKARYA,675985503,22533411.00,,,
SAMSUN,969829172,24335058.00,,,
SANLIURFA,145806560,17824505.00,,,
SIIRT,13773635,3868573.00,,,
SINOP,123350356,3504778.00,,,
SIRNAK,6447362,5874947.00,,,
SIVAS,495160293,11521507.00,,,
TEKIRDAG,1312234811,29620421.00,,,
TOKAT,394826060,8431753.00,,,
TRABZON,996957248,16830898.00,,,
USAK,211931407,7626484.00,,,
VAN,86958064,10684919.00,,,
YALOVA,242796362,6368359.00,,,
YOZGAT,230417515,6877572.00,,,
ZONGULDAK,635823026,11072359.00,,,
MERSIN,1718174550,,,,
