constant,inflow,outflow,population,district_id
1,6099,7835,303371,2
1,12096,11124,408986,4
1,4558,5633,248071,9
1,5671,4901,287223,12
1,573,1574,67843,15
1,27558,5802,241520,17
1,1703,1919,161165,31
1,10245,5873,188793,33
1,18482,6914,221594,34
1,2850,5539,329788,38
1,8169,12797,686968,42
1,20181,15872,482571,50
1,6473,8116,342422,53
1,5200,11448,337681,59
1,5589,8147,223324,60
1,11334,14729,534970,61
1,17244,17289,674131,63
1,11662,7837,663569,65
1,12777,7535,269809,70
1,11502,11426,754623,77
1,2975,7308,458857,79
1,8856,14161,599027,81
1,7332,12947,367824,82
1,11129,8346,419266,84
1,1886,8608,513022,86
1,2689,2666,221620,87
1,5854,9473,417852,88
1,4658,10722,450498,96
1,1541,3013,315022,98
1,10590,13777,498120,100
1,32071,9664,272380,115
1,5863,7562,262473,120
1,7235,18031,748398,121
1,17939,13652,432230,123
1,1824,5189,220656,141
1,8848,13827,476806,160
