POLYGON_NM,district_id,AutoSvc,Business,CommSvc,EduInst,Entrtnmt,FinInst,Hospitals,MajHwys,Parking,ParkRec,RailRds,Rstrnts,SecHwys,Shopping,TrnsHubs,TrvlDest,POI_sum,POI_diversity,poidensity,divcount
GUNGOREN,2,166,72,109,72,72,215,101,93,40,48,0,485,1661,4489,3,16,7642,1.381517826,341.1607143,10557.55923
ATASEHIR,4,1034,72,186,164,164,306,116,518,32,74,0,823,3960,3994,8,29,11480,1.712150288,1601.11576,19655.48531
BEYKOZ,9,93,30,257,150,150,164,75,172,20,77,0,540,3938,2085,11,55,7817,1.535098978,263.6424958,11999.86871
ZEYTINBURNU,12,196,108,150,93,93,187,86,320,37,50,9,439,1996,4969,6,21,8760,1.441514103,165.0961176,12627.66354
CATALCA,15,102,18,110,56,56,30,19,258,4,14,13,101,4212,681,0,9,5683,1.036814198,54.3931853,5892.215087
BEYOGLU,17,131,320,362,137,137,289,82,180,155,76,0,1083,2031,3763,36,355,9137,1.870408507,211.8970315,17089.92253
SILIVRI,31,236,33,164,83,83,84,71,2923,16,37,13,305,5922,2030,1,56,12057,1.430350949,417.7754678,17245.74139
BESIKTAS,33,82,131,280,250,250,462,225,447,171,168,0,1212,2993,3915,18,144,10748,1.878705522,595.7871397,20192.32695
BAKIRKOY,34,77,86,199,166,166,365,246,487,126,128,26,974,2587,4163,136,87,10019,1.817533117,9.629764903,18209.8643
SANCAKTEPE,38,151,63,132,66,66,94,70,243,10,54,0,308,3059,1947,2,13,6278,1.479559508,149.7614504,9288.674591
ESENYURT,42,261,97,194,144,144,243,111,674,21,63,0,552,4134,4020,0,10,10668,1.568230943,301.8675722,16729.8877
KADIKOY,50,347,196,304,313,313,881,289,254,120,188,47,1777,4339,9534,59,140,19101,1.633642362,1031.928687,31204.20276
BASAKSEHIR,53,1016,83,140,153,153,245,59,332,49,50,13,403,3920,2251,28,10,8905,1.69281995,993.8616071,15074.56165
SARIYER,59,1086,118,348,285,285,337,117,374,117,153,0,982,4269,3080,28,57,11636,1.886004729,301.920083,21945.55103
BUYUKCEKMECE,60,106,42,153,176,176,176,90,1700,23,53,0,513,3786,2070,2,39,9105,1.667104744,363.1830874,15178.98869
USKUDAR,61,207,108,387,337,337,379,233,306,96,176,5,991,5121,5253,26,131,14093,1.693832854,95.21010674,23871.18641
UMRANIYE,63,430,297,335,220,220,498,154,729,61,130,0,1204,5882,8445,11,49,18665,1.565339343,1258.597438,29217.05884
PENDIK,65,290,54,255,209,209,390,174,730,43,88,25,1001,6376,5786,141,62,15833,1.5836003,127.8298078,25073.14355
BAYRAMPASA,70,243,74,107,76,76,241,91,228,29,68,0,712,1935,4363,7,39,8289,1.517667015,9.532955343,12579.94189
BAGCILAR,77,235,219,275,172,172,345,168,433,74,97,0,1090,3464,8443,18,14,15219,1.461247107,49.03660265,22238.71972
ESENLER,79,203,75,133,87,87,123,82,317,30,37,0,456,2415,3986,3,11,8045,1.469685258,51.0210553,11823.6179
BAHCELIEVLER,81,256,178,184,185,185,264,162,340,68,120,0,909,3006,6812,1,38,12708,1.50994732,1123.607427,19188.41054
EYUP,82,149,43,290,132,132,205,72,533,59,136,0,545,3558,3744,4,100,9702,1.62558143,214.1721854,15771.39103
FATIH,84,208,273,783,296,296,722,298,0,291,197,40,1853,2374,15142,49,1526,24348,1.473895639,135.1165372,35886.41102
SULTANGAZI,86,127,46,151,76,76,100,92,266,20,106,0,521,2273,4022,0,6,7882,1.443588617,208.8500265,11378.36548
TUZLA,87,112,112,151,113,113,178,53,483,11,102,19,383,3680,1739,0,28,7277,1.593285778,194.0015996,11594.34061
AVCILAR,88,182,63,131,94,94,170,84,678,49,63,5,567,2578,4416,2,28,9204,1.540619682,355.7788945,14179.86355
KARTAL,96,211,42,198,216,216,258,130,463,51,97,24,745,4477,3775,29,22,10954,1.623522908,48.01437714,17784.06993
SULTANBEYLI,98,127,25,166,70,70,99,56,200,20,16,0,285,2874,2453,1,16,6478,1.417186923,185.191538,9180.536887
GAZIOSMANPASA,100,118,22,201,103,103,189,136,136,26,75,0,567,2232,4951,1,13,8873,1.388132457,934,12316.89929
SISLI,115,255,342,251,172,172,554,200,396,319,95,0,1485,2852,7430,22,116,14661,1.670835854,1256.298201,24496.12446
BEYLIKDUZU,120,60,155,88,85,85,150,57,324,20,43,0,351,2215,1339,2,7,4981,1.681830194,80.50751576,8377.196196
KUCUKCEKMECE,121,276,114,204,202,202,294,156,643,67,93,32,883,4185,5991,6,18,13366,1.583868442,839.0458255,21169.9856
KAGITHANE,123,259,48,219,117,117,234,90,608,61,103,0,756,2811,4025,3,21,9472,1.656487464,571.6354858,15690.24926
CEKMEKOY,141,83,68,132,104,104,106,54,0,5,48,0,302,3316,1493,0,5,5820,1.333436871,38.47679492,7760.602589
MALTEPE,160,281,53,183,207,207,268,127,294,36,84,15,800,3851,4655,26,36,11123,1.589305437,306.9260486,17677.84438
