district_id,inflow,outflow,inworkflow,outworkflow,inshopflow,outshopflow,inshopfreqflow,outshopfreqflow,inshopmerflow,outshopmerflow
2,6099,7835,990,836,5109,6999,20148,32531,9087,15760
4,12096,11124,1470,1315,10626,9809,68091,53912,37299,23374
9,4558,5633,421,547,4137,5086,13995,23259,5618,12145
12,5671,4901,970,514,4701,4387,14390,20127,8264,9601
15,573,1574,91,62,482,1512,1145,7683,659,3252
17,27558,5802,1364,607,26194,5195,1.14E+05,28511,43850,12985
31,1703,1919,140,81,1563,1838,4930,6199,2635,3023
33,10245,5873,2347,560,7898,5313,40305,30355,16992,15093
34,18482,6914,1164,744,17318,6170,89088,26943,48260,12595
38,2850,5539,451,708,2399,4831,9586,24542,4034,11286
42,8169,12797,1173,1405,6996,11392,38978,52461,20261,22443
50,20181,15872,2328,1589,17853,14283,1.20E+05,74669,46141,35194
53,6473,8116,915,821,5558,7295,22172,36173,13824,15296
59,5200,11448,611,1227,4589,10221,19638,53628,10827,25002
60,5589,8147,530,801,5059,7346,21074,35515,8933,16712
61,11334,14729,1109,1754,10225,12975,44935,66445,22742,33928
63,17244,17289,1764,1908,15480,15381,73544,73047,39957,34291
65,11662,7837,578,926,11084,6911,53057,31253,23823,13007
70,12777,7535,1058,833,11719,6702,59612,25618,34618,12090
77,11502,11426,1355,1336,10147,10090,44787,45892,19261,20415
79,2975,7308,584,913,2391,6395,9413,29875,4030,13624
81,8856,14161,1200,1590,7656,12571,26381,61994,15338,27820
82,7332,12947,808,1520,6524,11427,28529,52229,14482,25606
84,11129,8346,2044,762,9085,7584,25759,35145,14762,16714
86,1886,8608,309,920,1577,7688,5042,38896,2334,16456
87,2689,2666,619,228,2070,2438,4855,15660,2654,7162
88,5854,9473,606,1033,5248,8440,21140,38696,9916,18025
96,4658,10722,579,1267,4079,9455,17093,49902,7054,24652
98,1541,3013,251,368,1290,2645,3706,10981,2096,5012
100,10590,13777,591,1647,9999,12130,40900,57233,16936,28138
115,32071,9664,4155,947,27916,8717,1.93E+05,38180,85825,17954
120,5863,7562,635,806,5228,6756,29465,34621,14610,14802
121,7235,18031,982,1978,6253,16053,26024,67457,12152,33663
123,17939,13652,1252,1628,16687,12024,70885,58408,27135,30548
141,1824,5189,263,645,1561,4544,6240,26950,2554,13271
160,8848,13827,753,1634,8095,12193,45225,62126,21344,29368
