ID,District,Population 2015,Male,Female
121,Küçükçekmece,761.064,382.547,378.517
77,Bağcılar,757.162,385.909,371.253
42,Esenyurt,742.81,381.508,361.302
63,Ümraniye,688.347,346.997,341.35
65,Pendik,681.736,345.821,335.915
81,Bahçelievler,602.04,302.691,299.349
61,Üsküdar,540.617,265.637,274.98
86,Sultangazi,521.524,267.305,254.219
100,Gaziosmanpaşa,501.546,253.09,248.456
160,Maltepe,487.337,241.44,245.897
50,Kadıköy,465.954,211.394,254.56
79,Esenler,459.983,237.018,222.965
96,Kartal,457.552,227.602,229.95
123,Kağıthane,437.942,222.523,215.419
88,Avcılar,425.228,213.765,211.463
4,Ataşehir,419.368,207.39,211.978
84,Fatih,419.345,208.295,211.05
82,Eyüp,375.409,189.387,186.022
38,Sancaktepe,354.882,181.86,173.022
53,Başakşehir,353.311,177.779,175.532
59,Sarıyer,344.159,171.739,172.42
98,Sultanbeyli,321.73,165.784,155.946
2,Güngören,302.066,152.219,149.847
12,Zeytinburnu,289.685,144.666,145.019
120,Beylikdüzü,279.999,137.341,142.658
115,Şişli,274.017,133.722,140.295
70,Bayrampaşa,272.374,137.331,135.043
9,Beykoz,249.727,124.563,125.164
17,Beyoğlu,242.25,124.594,117.656
1,Arnavutköy,236.222,122.073,114.149
87,Tuzla,234.372,120.703,113.669
141,Çekmeköy,231.818,117.257,114.561
60,Büyükçekmece,231.064,115.215,115.849
34,Bakırköy,223.248,105.257,117.991
33,Beşiktaş,190.033,88.64,101.393
31,Silivri,165.084,89.393,75.691
15,Çatalca,67.329,34.271,33.058
131,Şile,33.477,17.224,16.253
111,Adalar,15.623,8.549,7.074
