State,County,FIPS code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
AL,Autauga,01001,1986,.,100.00,95.40,71.03
AL,Autauga,01001,1987,-2.17,97.83,93.33,69.49
AL,Autauga,01001,1988,3.24,100.99,96.35,71.74
AL,Autauga,01001,1989,4.16,105.19,100.36,74.72
AL,Autauga,01001,1990,-0.35,104.82,100.00,74.45
AL,Autauga,01001,1991,2.69,107.64,102.69,76.46
AL,Autauga,01001,1992,2.85,110.70,105.61,78.63
AL,Autauga,01001,1993,3.34,114.40,109.14,81.26
AL,Autauga,01001,1994,4.33,119.35,113.86,84.77
AL,Autauga,01001,1995,3.48,123.50,117.82,87.72
AL,Autauga,01001,1996,2.60,126.71,120.88,90.00
AL,Autauga,01001,1997,3.42,131.05,125.02,93.08
AL,Autauga,01001,1998,3.31,135.38,129.15,96.16
AL,Autauga,01001,1999,1.46,137.36,131.04,97.57
AL,Autauga,01001,2000,2.49,140.78,134.31,100.00
AL,Autauga,01001,2001,3.38,145.54,138.85,103.38
AL,Autauga,01001,2002,2.46,149.12,142.26,105.92
AL,Autauga,01001,2003,1.76,151.75,144.77,107.79
AL,Autauga,01001,2004,2.43,155.44,148.29,110.41
AL,Autauga,01001,2005,7.25,166.70,159.04,118.41
AL,Autauga,01001,2006,7.54,179.27,171.03,127.34
AL,Autauga,01001,2007,4.31,187.00,178.40,132.83
AL,Autauga,01001,2008,0.11,187.19,178.59,132.97
AL,Autauga,01001,2009,-2.06,183.34,174.91,130.23
AL,Autauga,01001,2010,-3.06,177.73,169.56,126.24
AL,Autauga,01001,2011,-2.55,173.20,165.24,123.03
AL,Autauga,01001,2012,-3.16,167.73,160.02,119.14
AL,Autauga,01001,2013,0.51,168.59,160.84,119.75
AL,Autauga,01001,2014,0.93,170.16,162.34,120.87
AL,Autauga,01001,2015,0.72,171.38,163.50,121.73
AL,Autauga,01001,2016,1.78,174.44,166.42,123.90
AL,Autauga,01001,2017,2.47,178.75,170.53,126.97
AL,Baldwin,01003,1977,.,100.00,68.82,41.69
AL,Baldwin,01003,1978,1.90,101.90,70.13,42.48
AL,Baldwin,01003,1979,3.34,105.30,72.47,43.90
AL,Baldwin,01003,1980,22.89,129.40,89.06,53.95
AL,Baldwin,01003,1981,-14.90,110.12,75.79,45.91
AL,Baldwin,01003,1982,0.67,110.87,76.30,46.22
AL,Baldwin,01003,1983,26.60,140.35,96.60,58.51
AL,Baldwin,01003,1984,-2.76,136.48,93.93,56.90
AL,Baldwin,01003,1985,1.38,138.36,95.22,57.68
AL,Baldwin,01003,1986,-1.21,136.68,94.07,56.98
AL,Baldwin,01003,1987,0.32,137.11,94.36,57.16
AL,Baldwin,01003,1988,1.11,138.63,95.41,57.80
AL,Baldwin,01003,1989,2.52,142.12,97.81,59.25
AL,Baldwin,01003,1990,2.23,145.30,100.00,60.57
AL,Baldwin,01003,1991,3.65,150.60,103.65,62.79
AL,Baldwin,01003,1992,4.26,157.02,108.07,65.46
AL,Baldwin,01003,1993,8.11,169.76,116.84,70.77
AL,Baldwin,01003,1994,6.84,181.37,124.83,75.61
AL,Baldwin,01003,1995,8.23,196.29,135.10,81.83
AL,Baldwin,01003,1996,3.29,202.76,139.55,84.53
AL,Baldwin,01003,1997,6.42,215.77,148.50,89.95
AL,Baldwin,01003,1998,4.51,225.50,155.20,94.01
AL,Baldwin,01003,1999,2.74,231.67,159.45,96.58
AL,Baldwin,01003,2000,3.54,239.87,165.09,100.00
AL,Baldwin,01003,2001,4.54,250.76,172.58,104.54
AL,Baldwin,01003,2002,1.57,254.70,175.29,106.18
AL,Baldwin,01003,2003,3.29,263.08,181.06,109.68
AL,Baldwin,01003,2004,4.42,274.71,189.07,114.53
AL,Baldwin,01003,2005,16.22,319.26,219.73,133.10
AL,Baldwin,01003,2006,16.63,372.34,256.26,155.23
AL,Baldwin,01003,2007,2.18,380.45,261.84,158.61
AL,Baldwin,01003,2008,-4.44,363.55,250.21,151.56
AL,Baldwin,01003,2009,-7.72,335.50,230.90,139.87
AL,Baldwin,01003,2010,-12.40,293.90,202.27,122.53
AL,Baldwin,01003,2011,-6.20,275.69,189.74,114.94
AL,Baldwin,01003,2012,0.31,276.55,190.33,115.29
AL,Baldwin,01003,2013,1.05,279.46,192.33,116.50
AL,Baldwin,01003,2014,8.63,303.59,208.94,126.56
AL,Baldwin,01003,2015,3.87,315.34,217.03,131.47
AL,Baldwin,01003,2016,5.05,331.28,228.00,138.11
AL,Baldwin,01003,2017,5.19,348.49,239.84,145.28
AL,Barbour,01005,1985,.,100.00,89.08,55.70
AL,Barbour,01005,1986,6.65,106.65,95.00,59.40
AL,Barbour,01005,1987,-1.10,105.47,93.95,58.75
AL,Barbour,01005,1988,8.58,114.52,102.01,63.79
AL,Barbour,01005,1989,0.54,115.14,102.56,64.13
AL,Barbour,01005,1990,-2.50,112.26,100.00,62.53
AL,Barbour,01005,1991,3.54,116.23,103.54,64.74
AL,Barbour,01005,1992,4.77,121.77,108.47,67.83
AL,Barbour,01005,1993,4.33,127.05,113.18,70.77
AL,Barbour,01005,1994,1.76,129.29,115.17,72.02
AL,Barbour,01005,1995,8.25,139.96,124.67,77.96
AL,Barbour,01005,1996,6.14,148.55,132.32,82.74
AL,Barbour,01005,1997,6.50,158.20,140.92,88.12
AL,Barbour,01005,1998,5.31,166.60,148.40,92.80
AL,Barbour,01005,1999,1.85,169.68,151.14,94.51
AL,Barbour,01005,2000,5.81,179.53,159.92,100.00
AL,Barbour,01005,2001,6.57,191.32,170.43,106.57
AL,Barbour,01005,2002,0.72,192.71,171.66,107.34
AL,Barbour,01005,2003,0.07,192.84,171.78,107.42
AL,Barbour,01005,2004,-0.49,191.90,170.94,106.89
AL,Barbour,01005,2005,7.44,206.17,183.65,114.84
AL,Barbour,01005,2006,9.75,226.27,201.56,126.03
AL,Barbour,01005,2007,5.66,239.07,212.96,133.16
AL,Barbour,01005,2008,3.36,247.11,220.12,137.64
AL,Barbour,01005,2009,-3.00,239.70,213.51,133.51
AL,Barbour,01005,2010,-4.07,229.94,204.82,128.08
AL,Barbour,01005,2011,-0.93,227.79,202.91,126.88
AL,Barbour,01005,2012,-2.02,223.19,198.81,124.32
AL,Barbour,01005,2013,-3.11,216.26,192.64,120.46
AL,Barbour,01005,2014,-7.01,201.11,179.14,112.02
AL,Barbour,01005,2015,6.44,214.06,190.68,119.23
AL,Barbour,01005,2016,-0.69,212.59,189.37,118.41
AL,Barbour,01005,2017,5.29,223.84,199.39,124.68
AL,Bibb,01007,1998,.,100.00,.,91.47
AL,Bibb,01007,1999,9.79,109.79,.,100.42
AL,Bibb,01007,2000,-0.42,109.33,.,100.00
AL,Bibb,01007,2001,4.87,114.65,.,104.87
AL,Bibb,01007,2002,6.55,122.16,.,111.74
AL,Bibb,01007,2003,0.92,123.28,.,112.76
AL,Bibb,01007,2004,-0.16,123.09,.,112.59
AL,Bibb,01007,2005,4.08,128.11,.,117.18
AL,Bibb,01007,2006,10.62,141.71,.,129.62
AL,Bibb,01007,2007,-0.86,140.49,.,128.51
AL,Bibb,01007,2008,3.01,144.72,.,132.37
AL,Bibb,01007,2009,-2.00,141.83,.,129.73
