Areaname,GEOID,area
UNITED STATES,00000,3787425.08
ALABAMA,01000,52422.94
"Autauga, AL",01001,604.49
"Baldwin, AL",01003,2027.08
"Barbour, AL",01005,904.59
"Bibb, AL",01007,625.5
"Blount, AL",01009,650.65
"Bullock, AL",01011,626.11
"Butler, AL",01013,777.99
"Calhoun, AL",01015,612.35
"Chambers, AL",01017,603.15
"Cherokee, AL",01019,600
"Chilton, AL",01021,700.8
"Choctaw, AL",01023,920.91
"Clarke, AL",01025,1252.6
"Clay, AL",01027,606.05
"Cleburne, AL",01029,561.06
"Coffee, AL",01031,680.52
"Colbert, AL",01033,623.66
"Conecuh, AL",01035,852.58
"Coosa, AL",01037,666.41
"Covington, AL",01039,1043.95
"Crenshaw, AL",01041,610.91
"Cullman, AL",01043,754.86
"Dale, AL",01045,562.72
"Dallas, AL",01047,993.46
"DeKalb, AL",01049,778.71
"Elmore, AL",01051,657.26
"Escambia, AL",01053,953.04
"Etowah, AL",01055,548.81
"Fayette, AL",01057,629.38
"Franklin, AL",01059,646.55
"Geneva, AL",01061,578.96
"Greene, AL",01063,659.99
"Hale, AL",01065,656.52
"Henry, AL",01067,568.38
"Houston, AL",01069,581.71
"Jackson, AL",01071,1126.82
"Jefferson, AL",01073,1123.87
"Lamar, AL",01075,605.51
"Lauderdale, AL",01077,718.84
"Lawrence, AL",01079,718.13
"Lee, AL",01081,615.61
"Limestone, AL",01083,607.12
"Lowndes, AL",01085,725.09
"Macon, AL",01087,613.29
"Madison, AL",01089,812.89
"Marengo, AL",01091,982.92
"Marion, AL",01093,743.62
"Marshall, AL",01095,623.21
"Mobile, AL",01097,1644.14
"Monroe, AL",01099,1034.62
"Montgomery, AL",01101,799.81
"Morgan, AL",01103,599.09
"Perry, AL",01105,724.13
"Pickens, AL",01107,890.1
"Pike, AL",01109,672.15
"Randolph, AL",01111,584.15
"Russell, AL",01113,647.44
"St. Clair, AL",01115,653.66
"Shelby, AL",01117,809.6
"Sumter, AL",01119,913.35
"Talladega, AL",01121,760.32
"Tallapoosa, AL",01123,766.3
"Tuscaloosa, AL",01125,1352.03
"Walker, AL",01127,805.36
"Washington, AL",01129,1088.62
"Wilcox, AL",01131,907.54
"Winston, AL",01133,631.9
ALASKA,02000,656424.14
"Aleutians East, AK",02013,15011.77
"Aleutians West, AK",02016,14114.7
"Anchorage, AK",02020,1961.51
"Bethel, AK",02050,45954.59
"Bristol Bay, AK",02060,917.61
"Denali, AK",02068,0
"Dillingham, AK",02070,20613.12
"Fairbanks North Star, AK",02090,7443.68
"Haines, AK",02100,2754.1
"Hoonah-Angoon, AK",02105,17500.23
"Juneau, AK",02110,3081.12
"Kenai Peninsula, AK",02122,21664.33
"Ketchikan Gateway, AK",02130,1743.55
"Kodiak Island, AK",02150,11845.9
"Lake and Peninsula, AK",02164,29008.24
"Matanuska-Susitna, AK",02170,25232.41
"Nome, AK",02180,28276.17
"North Slope, AK",02185,93823.1
"Northwest Arctic, AK",02188,40660.96
"Petersburg, AK",02195,8973.77
"Prince of Wales-Hyder, AK",02198,12566.41
"Sitka, AK",02220,4849.75
"Skagway, AK",02230,0
"Southeast Fairbanks, AK",02240,26235.44
"Valdez-Cordova, AK",02261,43515.67
"Wade Hampton, AK",02270,19680.08
"Wrangell, AK",02275,0
"Yakutat, AK",02282,0
"Yukon-Koyukuk, AK",02290,158995.95
ARIZONA,04000,114006.26
"Apache, AZ",04001,11219.17
"Cochise, AZ",04003,6219.32
"Coconino, AZ",04005,18662.57
"Gila, AZ",04007,4796.14
"Graham, AZ",04009,4641.47
"Greenlee, AZ",04011,1848.55
"La Paz, AZ",04012,4513.66
"Maricopa, AZ",04013,9224.86
"Mohave, AZ",04015,13470.5
"Navajo, AZ",04017,9960.22
"Pima, AZ",04019,9189.44
"Pinal, AZ",04021,5374.49
"Santa Cruz, AZ",04023,1238.22
"Yavapai, AZ",04025,8128.33
"Yuma, AZ",04027,5519.32
ARKANSAS,05000,53182.36
"Arkansas, AR",05001,1033.85
"Ashley, AR",05003,939.16
"Baxter, AR",05005,586.78
"Benton, AR",05007,876.82
"Boone, AR",05009,601.86
"Bradley, AR",05011,654.43
"Calhoun, AR",05013,632.59
"Carroll, AR",05015,642.33
"Chicot, AR",05017,690.93
"Clark, AR",05019,882.68
"Clay, AR",05021,641.47
"Cleburne, AR",05023,591.95
"Cleveland, AR",05025,598.84
"Columbia, AR",05027,766.94
"Conway, AR",05029,566.71
"Craighead, AR",05031,713.03
"Crawford, AR",05033,604.24
"Crittenden, AR",05035,636.73
"Cross, AR",05037,622.38
"Dallas, AR",05039,668.21
"Desha, AR",05041,819.57
"Drew, AR",05043,835.71
"Faulkner, AR",05045,664.05
"Franklin, AR",05047,619.72
"Fulton, AR",05049,620.36
"Garland, AR",05051,734.61
"Grant, AR",05053,633.06
"Greene, AR",05055,579.69
"Hempstead, AR",05057,741.42
"Hot Spring, AR",05059,622.2
"Howard, AR",05061,595.24
"Independence, AR",05063,771.64
"Izard, AR",05065,584.07
"Jackson, AR",05067,641.5
"Jefferson, AR",05069,913.75
"Johnson, AR",05071,682.78
"Lafayette, AR",05073,545.11
"Lawrence, AR",05075,592.39
"Lee, AR",05077,619.5
"Lincoln, AR",05079,572.21
"Little River, AR",05081,564.9
"Logan, AR",05083,731.55
"Lonoke, AR",05085,802.48
"Madison, AR",05087,837.13
"Marion, AR",05089,640.38
