"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00000","United States","","CA1","1","...","Personal income (thousands of dollars)",791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491506000,1646968000,1851867000,2068806000,2307005000,2584340000,2767657000,2957901000,3268535000,3501927000,3712243000,3940859000,4260753000,4603969000,4890453000,5055766000,5402109000,5639780000,5930316000,6275761000,6661697000,7075132000,7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14068960000,14801624000,15463981000
"00000","United States","","CA1","2","...","Population (persons) 1/",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309346863,311718857,314102623,316427395,318907401,321418820
"00000","United States","","CA1","3","...","Per capita personal income (dollars) 2/",3930,4196,4468,4853,5352,5824,6312,6856,7494,8338,9212,10153,11262,11947,12652,13860,14719,15459,16265,17426,18653,19591,19985,21060,21698,22538,23568,24728,25950,27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42453,44267,44462,46414,48112
"01000","Alabama state total","5","CA1","1","...","Personal income (thousands of dollars)",9726212,10605131,11670926,12964387,14582799,16175869,18038463,20228589,22281919,25197261,27992382,30864240,34263541,36197910,38771851,42649118,45942335,48627446,51486400,55388090,60312581,64070364,67662101,72847428,76199461,80680540,85362072,89084446,93822199,99767737,103105812,108000944,111693478,114176585,119399497,128541881,136187496,144954288,152246048,157727573,155513766,161256950,166595407,170881367,172789879,178976771,184784917
"01000","Alabama state total","5","CA1","2","...","Population (persons) 1/",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785161,4801108,4816089,4830533,4846411,4858979
"01000","Alabama state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2827,3074,3337,3662,4073,4459,4901,5413,5890,6572,7234,7913,8744,9222,9855,10792,11565,12183,12823,13765,14965,15820,16506,17537,18082,18938,19866,20569,21480,22650,23274,24258,25001,25485,26513,28371,29802,31315,32581,33430,32685,33699,34699,35481,35770,36930,38030
"01001","Autauga, AL","5","CA1","1","...","Personal income (thousands of dollars)",69808,77446,87790,99758,114325,123509,130898,149403,160756,186804,226274,248100,259689,277747,299246,334577,363360,387807,421999,462703,500832,528764,570764,610726,650651,709993,753444,805930,865097,924130,979525,1036129,1092766,1114685,1207226,1344041,1420621,1524680,1663735,1771538,1764926,1828505,1895343,1928597,1945296,2021996,2090608
"01001","Autauga, AL","5","CA1","2","...","Population (persons) 1/",25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54660,55253,55175,55038,55290,55347
"01001","Autauga, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2774,3147,3442,3672,4017,4220,4405,4997,5277,6049,7059,7701,8119,8670,9336,10412,11269,11790,12685,13756,14732,15392,16303,16972,17608,18593,19264,20045,20978,21948,22799,23537,24344,24280,25795,27789,28598,29705,31748,33251,32602,33452,34303,34954,35345,36571,37773
"01003","Baldwin, AL","5","CA1","1","...","Personal income (thousands of dollars)",157098,172451,196330,223337,267249,304840,344509,404670,433311,494105,539522,612860,714444,756544,841646,937423,1047199,1114484,1181292,1280528,1438814,1565529,1732487,1929046,2127710,2347195,2560353,2799545,3051979,3308357,3481179,3770707,3930271,4083450,4282604,4818431,5350313,6012979,6369385,6384792,6237544,6611513,6994561,7166230,7361494,7794455,8172925
"01003","Baldwin, AL","5","CA1","2","...","Population (persons) 1/",56951,59474,60142,62435,64196,66072,67861,70244,72399,74550,76594,78931,80287,82331,83978,86752,89401,91311,93214,94649,96198,98955,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183193,186659,190396,195126,199713,203709
"01003","Baldwin, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2758,2900,3264,3577,4163,4614,5077,5761,5985,6628,7044,7765,8899,9189,10022,10806,11714,12205,12673,13529,14957,15821,16916,18097,19097,20136,21178,22323,23447,24608,25308,26678,27129,27599,28266,30835,32989,35766,36945,36313,34768,36090,37472,37639,37727,39028,40121
"01005","Barbour, AL","5","CA1","1","...","Personal income (thousands of dollars)",51038,57492,61814,69877,79399,89700,98096,112704,122588,139166,150740,158835,178143,185843,199613,228675,243960,263583,279491,307402,328467,342695,373589,401005,418409,440303,441656,453716,472261,506875,545885,547871,576915,576153,591817,641940,670026,695277,719357,727102,731828,763443,767836,761468,811386,809739,832881
"01005","Barbour, AL","5","CA1","2","...","Population (persons) 1/",23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27341,27226,27159,26973,26815,26489
"01005","Barbour, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2143,2538,2677,3058,3385,3828,3945,4401,4965,5675,6171,6414,7198,7501,8050,9165,9758,10568,11134,12184,12964,13436,14095,14885,15287,15866,15856,16034,16620,17575,18911,18882,19988,20108,20697,22694,23906,24955,25916,26147,26461,27923,28202,28037,30081,30197,31443
"01007","Bibb, AL","5","CA1","1","...","Personal income (thousands of dollars)",29801,32501,36568,40790,46505,50689,56225,64677,71941,83116,93773,102430,110238,116682,125670,140355,150209,159414,166232,181863,194787,211246,219545,234384,246969,264684,283846,299489,316987,319746,337528,350801,371568,379862,399728,442541,449239,472612,519399,551983,546064,571586,589665,611309,616256,634246,656594
"01007","Bibb, AL","5","CA1","2","...","Population (persons) 1/",14994,13798,13919,14097,14654,14391,14778,14763,15257,15355,15550,15751,15836,16020,15999,16089,16157,15918,16165,16136,16360,16697,17071,17403,17757,18053,18507,18885,19388,19851,20560,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22861,22733,22642,22512,22549,22583
"01007","Bibb, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",1988,2355,2627,2894,3174,3522,3805,4381,4715,5413,6030,6503,6961,7284,7855,8724,9297,10015,10283,11271,11906,12652,12861,13468,13908,14661,15337,15859,16350,16107,16417,17617,17670,17919,18680,20374,20381,21386,23148,24311,23803,25003,25939,26999,27375,28127,29075
"01009","Blount, AL","5","CA1","1","...","Personal income (thousands of dollars)",69221,69896,77413,90814,109451,115258,138493,153925,171021,195522,218186,246612,269147,277363,291215,327898,365922,377331,400478,455736,508489,543526,571811,601405,635381,676044,727966,799443,851477,939135,988258,1033781,1109571,1086063,1138908,1223065,1300894,1365800,1476884,1590435,1572126,1583509,1623612,1689361,1723140,1784265,1826125
"01009","Blount, AL","5","CA1","2","...","Population (persons) 1/",26411,26999,27817,29296,30357,31537,32219,33048,34219,34845,35959,36508,36641,36355,36428,36790,37417,37995,38017,38250,38771,39473,40190,40822,41866,42520,44060,45344,47055,48824,50237,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57373,57711,57776,57734,57658,57673
"01009","Blount, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2621,2589,2783,3100,3605,3655,4298,4658,4998,5611,6068,6755,7346,7629,7994,8913,9780,9931,10534,11915,13115,13770,14228,14732,15177,15899,16522,17631,18095,19235,19672,20228,21402,20667,21305,22597,23815,24616,26260,27875,27417,27600,28133,29240,29846,30946,31663
"01011","Bullock, AL","5","CA1","1","...","Personal income (thousands of dollars)",22694,25394,27225,31460,35911,37257,38288,44980,48795,52068,57154,57881,65337,66798,74940,75472,81644,85050,87082,94971,107270,114872,126228,136001,140853,146219,155534,156541,171177,182816,188050,182143,196624,202231,207826,216857,218208,229679,239223,252209,259125,252959,257025,257150,276417,274517,277341
"01011","Bullock, AL","5","CA1","2","...","Population (persons) 1/",12554,11749,11418,11443,11274,11141,11097,11112,11015,10954,10799,10616,10679,10639,10686,10824,10777,10459,10891,11184,11170,11032,11188,11125,11219,11370,11431,11574,11624,11655,11755,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10887,10629,10606,10628,10829,10696
"01011","Bullock, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",1808,2161,2384,2749,3185,3344,3450,4048,4430,4753,5293,5452,6118,6279,7013,6973,7576,8132,7996,8492,9603,10413,11282,12225,12555,12860,13606,13525,14726,15686,15997,15728,17311,17967,18366,19614,19817,21314,21726,23026,23585,23235,24181,24246,26008,25350,25929
"01013","Butler, AL","5","CA1","1","...","Personal income (thousands of dollars)",45773,48469,51714,59304,67376,73310,81968,90539,97444,115863,129833,140091,162320,163239,174267,185050,192199,203480,214018,224000,236488,246674,260061,279335,295524,315706,339659,352747,357803,381663,394988,406202,439282,454975,469461,492189,503869,518084,561494,584033,571366,594675,598072,617002,639687,664540,675525
"01013","Butler, AL","5","CA1","2","...","Population (persons) 1/",22726,21987,21846,21530,21237,21160,21169,21351,20872,20911,21204,21789,22186,22399,22384,22443,22427,22340,22405,22207,22035,21886,21755,21794,21813,21851,21824,21863,21840,21718,21605,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20944,20673,20408,20261,20276,20154
"01013","Butler, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2014,2204,2367,2754,3173,3465,3872,4241,4669,5541,6123,6429,7316,7288,7785,8245,8570,9108,9552,10087,10732,11271,11954,12817,13548,14448,15564,16134,16383,17574,18282,19048,20781,21871,22534,23584,24190,24890,26873,27879,27381,28394,28930,30233,31572,32775,33518
"01015","Calhoun, AL","5","CA1","1","...","Personal income (thousands of dollars)",304093,313313,352809,395520,432119,483711,555543,621947,699210,772896,845438,968248,1064214,1139524,1214006,1335689,1399517,1466499,1521451,1603107,1701501,1754407,1843918,1946403,1999818,2068151,2179901,2241476,2320590,2458902,2462142,2450567,2583815,2689144,2827571,3005970,3115597,3265684,3479797,3601005,3562463,3633246,3703508,3720633,3654231,3763770,3863821
"01015","Calhoun, AL","5","CA1","2","...","Population (persons) 1/",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118437,117768,117286,116575,115993,115620
"01015","Calhoun, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2954,3038,3405,3809,4114,4567,5192,5515,6199,6636,7242,8068,8809,9332,10013,10972,11796,12460,12884,13671,14620,15109,16000,16808,17192,17804,18665,19210,19791,20984,21427,22061,23222,24091,25088,26493,27216,28302,29944,30706,30098,30677,31447,31723,31347,32448,33418
"01017","Chambers, AL","5","CA1","1","...","Personal income (thousands of dollars)",94563,102111,110213,126005,143401,157972,166181,191927,208750,229652,249701,276036,298072,312445,345328,364290,383907,407498,439854,462482,501582,506295,507503,542730,566036,590845,617733,638089,669840,700952,725170,741645,773088,796166,804868,844142,869921,893779,926931,894632,896035,931913,972031,994976,1007445,1030794,1067437
"01017","Chambers, AL","5","CA1","2","...","Population (persons) 1/",37814,36274,36280,36087,36961,37534,37537,37943,38368,38734,39303,39243,39382,39336,39258,39073,38614,37982,37753,37385,37208,36884,36913,37045,37026,37066,37179,36907,36698,36808,36527,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34098,33993,34075,34153,34052,34123
"01017","Chambers, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2501,2815,3038,3492,3880,4209,4427,5058,5441,5929,6353,7034,7569,7943,8796,9323,9942,10729,11651,12371,13480,13727,13749,14651,15288,15940,16615,17289,18253,19043,19853,20280,21312,22137,22558,23803,24658,25577,26600,25884,26060,27330,28595,29200,29498,30271,31282
"01019","Cherokee, AL","5","CA1","1","...","Personal income (thousands of dollars)",38008,39033,44470,49847,59068,62849,67167,80633,84026,97825,114473,120762,143367,149292,154200,164750,170705,180026,195786,220568,234634,244439,265763,283847,299531,316641,343000,369769,394814,412985,425474,444551,479495,488940,512449,555824,580417,600323,661757,704751,703113,722608,739390,762565,799748,823732,844162
"01019","Cherokee, AL","5","CA1","2","...","Population (persons) 1/",15904,15771,16522,16860,17242,17661,18068,18556,18435,18590,18644,18876,19310,19525,19136,18989,18890,18985,19229,19517,19467,19643,19876,20181,20712,21214,21871,22387,22911,23351,23605,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25976,26080,26023,26084,25995,25859
"01019","Cherokee, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2390,2475,2692,2957,3426,3559,3717,4345,4558,5262,6140,6398,7424,7646,8058,8676,9037,9483,10182,11301,12053,12444,13371,14065,14462,14926,15683,16517,17233,17686,18025,18518,19829,20036,20839,22334,23188,23574,25897,27491,27196,27818,28351,29304,30660,31688,32645
"01021","Chilton, AL","5","CA1","1","...","Personal income (thousands of dollars)",59083,61832,71625,80318,93093,99399,113155,130493,145563,167491,189028,210103,232704,249847,275328,301999,318432,334193,351563,374957,400231,423913,447582,476604,508134,546108,593674,624041,676801,703458,754133,781764,839671,860255,898659,967104,1020460,1100660,1171215,1187848,1180206,1197667,1252050,1279205,1292301,1330968,1378946
"01021","Chilton, AL","5","CA1","2","...","Population (persons) 1/",26594,25222,25630,26442,27241,27932,28558,29051,29317,29926,30472,30641,30702,30361,30734,31080,31560,31924,31994,32310,32365,32550,33200,33503,34072,34739,35537,36467,37302,38069,38862,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43665,43739,43697,43795,43921,43943
"01021","Chilton, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2222,2452,2795,3038,3417,3559,3962,4492,4965,5597,6203,6857,7579,8229,8958,9717,10090,10468,10988,11605,12366,13023,13481,14226,14914,15720,16706,17112,18144,18478,19405,19595,20889,21145,21876,23285,24328,26009,27313,27472,27141,27429,28625,29274,29508,30304,31380
"01023","Choctaw, AL","5","CA1","1","...","Personal income (thousands of dollars)",29432,31930,34139,37864,42287,46208,53076,60604,65294,73879,84233,92456,102741,112375,125867,137560,149134,166142,165392,173269,189467,199335,216374,231178,239208,259719,268740,270049,282847,297975,309463,310407,311864,316934,320248,324306,320959,337725,342143,346916,346289,363720,369979,384622,389763,399002,408881
"01023","Choctaw, AL","5","CA1","2","...","Population (persons) 1/",18432,16577,16516,16689,16996,16819,17226,17448,17329,16931,16909,16812,16672,16367,16594,16618,16710,16727,16557,16477,16166,15994,16044,16206,16228,16215,16195,16232,16162,16151,15931,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13841,13593,13543,13378,13289,13170
"01023","Choctaw, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",1597,1926,2067,2269,2488,2747,3081,3473,3768,4364,4982,5499,6162,6866,7585,8278,8925,9933,9989,10516,11720,12463,13486,14265,14740,16017,16594,16637,17501,18449,19425,19553,19893,20624,21070,21722,22067,23403,24067,24580,24777,26278,27218,28400,29135,30025,31046
"01025","Clarke, AL","5","CA1","1","...","Personal income (thousands of dollars)",60406,64188,68900,75927,84634,95029,104582,123835,142362,164045,175935,192633,204583,213672,230508,248715,264914,274779,286633,305665,336137,362264,379064,399713,415853,435101,464565,497341,513729,525763,544659,564160,555420,557912,581236,617803,633168,658645,694719,709134,706631,719161,730607,724441,749029,775053,786564
"01025","Clarke, AL","5","CA1","2","...","Population (persons) 1/",28083,26536,25876,26280,26544,26907,27385,27850,28225,28360,27646,27797,28128,27946,27864,27637,27419,27363,27527,27271,27164,27289,27391,27522,27532,27646,27455,27503,27934,27756,27919,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25767,25570,25144,25116,24847,24675
"01025","Clarke, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2151,2419,2663,2889,3188,3532,3819,4446,5044,5784,6364,6930,7273,7646,8273,8999,9662,10042,10413,11208,12374,13275,13839,14523,15104,15738,16921,18083,18391,18942,19509,20280,20106,20461,21456,22917,23657,24618,26279,26981,27138,27910,28573,28812,29823,31193,31877
"01027","Clay, AL","5","CA1","1","...","Personal income (thousands of dollars)",28923,30026,32050,36306,40307,42320,48597,54913,61944,71663,78819,94124,103668,111502,112016,120483,124508,132288,139437,149269,166356,182063,193233,207056,220156,235147,243206,250612,254926,271141,270623,270078,287880,295741,308727,341462,367684,392485,396019,399947,395993,400498,387714,396440,410527,429431,446838
"01027","Clay, AL","5","CA1","2","...","Population (persons) 1/",13075,12678,12926,13240,12959,13139,13165,13381,13330,13697,13895,13740,13864,13765,13759,13667,13700,13509,13331,13266,13172,13284,13314,13425,13518,13553,13590,13734,13963,14118,14174,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13880,13670,13456,13467,13538,13555
"01027","Clay, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2212,2368,2479,2742,3110,3221,3691,4104,4647,5232,5672,6850,7477,8100,8141,8816,9088,9793,10460,11252,12630,13705,14514,15423,16286,17350,17896,18248,18257,19205,19093,18936,20134,20744,21737,24181,26119,27929,28116,28243,28273,28854,28362,29462,30484,31720,32965
