FIPStxt,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Median_Household_Income_2016,Med_HH_Income_Percent_of_State_Total_2016
01000,AL,Alabama,,,,"2,175,612","2,089,127","86,485",4.0,"2,176,489","2,053,477","123,012",5.7,"2,162,999","1,924,747","238,252",11.0,"2,196,042","1,964,559","231,483",10.5,"2,202,670","1,990,413","212,257",9.6,"2,176,337","2,003,290","173,047",8.0,"2,168,411","2,011,636","156,775",7.2,"2,162,386","2,015,436","146,950",6.8,"2,152,289","2,020,675","131,614",6.1,"2,168,608","2,038,775","129,833",6.0,46309,100.0
01001,AL,"Autauga County, AL",2,2,1,"24,383","23,577",806,3.3,"24,687","23,420","1,267",5.1,"24,703","22,301","2,402",9.7,"25,713","23,431","2,282",8.9,"25,836","23,677","2,159",8.4,"25,740","23,961","1,779",6.9,"25,744","24,140","1,604",6.2,"25,610","24,111","1,499",5.9,"25,303","23,971","1,332",5.3,"25,649","24,297","1,352",5.3,54487,117.7
01003,AL,"Baldwin County, AL",3,2,1,"82,659","80,099","2,560",3.1,"83,223","79,372","3,851",4.6,"82,451","74,403","8,048",9.8,"83,459","75,120","8,339",10.0,"85,045","77,418","7,627",9.0,"84,414","78,065","6,349",7.5,"85,061","79,414","5,647",6.6,"86,444","81,131","5,313",6.1,"87,756","82,882","4,874",5.6,"89,931","85,061","4,870",5.4,56460,121.9
01005,AL,"Barbour County, AL",6,6,0,"10,334","9,684",650,6.3,"10,161","9,267",894,8.8,"10,003","8,572","1,431",14.3,"10,221","8,959","1,262",12.3,"9,849","8,712","1,137",11.5,"9,362","8,283","1,079",11.5,"9,077","8,147",930,10.2,"8,852","7,917",935,10.6,"8,646","7,881",765,8.8,"8,302","7,584",718,8.6,32884,71.0
01007,AL,"Bibb County, AL",1,1,1,"8,791","8,432",359,4.1,"8,749","8,241",508,5.8,"8,742","7,581","1,161",13.3,"8,934","7,914","1,020",11.4,"8,933","7,996",937,10.5,"8,798","8,047",751,8.5,"8,683","7,995",688,7.9,"8,564","7,946",618,7.2,"8,526","7,957",569,6.7,"8,573","8,004",569,6.6,43079,93.0
01009,AL,"Blount County, AL",1,1,1,"26,629","25,780",849,3.2,"26,698","25,453","1,245",4.7,"26,480","23,832","2,648",10.0,"24,906","22,460","2,446",9.8,"25,123","22,939","2,184",8.7,"24,960","23,244","1,716",6.9,"24,823","23,263","1,560",6.3,"24,543","23,036","1,507",6.1,"24,343","23,021","1,322",5.4,"24,525","23,171","1,354",5.5,47213,102.0
01011,AL,"Bullock County, AL",6,6,0,"3,653","3,308",345,9.4,"3,634","3,251",383,10.5,"3,739","3,156",583,15.6,"4,941","4,356",585,11.8,"4,833","4,272",561,11.6,"4,736","4,245",491,10.4,"4,766","4,319",447,9.4,"4,734","4,316",418,8.8,"4,779","4,400",379,7.9,"4,811","4,466",345,7.2,34278,74.0
01013,AL,"Butler County, AL",6,6,0,"9,099","8,539",560,6.2,"9,051","8,278",773,8.5,"9,104","7,615","1,489",16.4,"9,261","7,998","1,263",13.6,"9,188","8,042","1,146",12.5,"9,088","8,039","1,049",11.5,"9,124","8,184",940,10.3,"9,276","8,482",794,8.6,"9,155","8,460",695,7.6,"9,132","8,481",651,7.1,35409,76.5
01015,AL,"Calhoun County, AL",3,2,1,"54,861","52,709","2,152",3.9,"54,564","51,468","3,096",5.7,"53,925","47,929","5,996",11.1,"51,559","45,699","5,860",11.4,"51,268","45,963","5,305",10.3,"49,649","45,252","4,397",8.9,"48,282","44,043","4,239",8.8,"47,274","43,492","3,782",8.0,"46,048","42,813","3,235",7.0,"45,794","42,727","3,067",6.7,41778,90.2
01017,AL,"Chambers County, AL",6,5,0,"15,474","14,469","1,005",6.5,"15,012","12,848","2,164",14.4,"14,650","11,777","2,873",19.6,"14,754","12,554","2,200",14.9,"15,200","13,380","1,820",12.0,"15,140","13,646","1,494",9.9,"15,236","14,020","1,216",8.0,"15,314","14,285","1,029",6.7,"15,074","14,167",907,6.0,"15,134","14,295",839,5.5,39530,85.4
01019,AL,"Cherokee County, AL",6,6,0,"11,984","11,484",500,4.2,"11,996","11,308",688,5.7,"11,758","10,384","1,374",11.7,"11,464","10,245","1,219",10.6,"11,476","10,364","1,112",9.7,"11,268","10,363",905,8.0,"11,374","10,621",753,6.6,"11,394","10,731",663,5.8,"11,208","10,598",610,5.4,"11,163","10,581",582,5.2,41456,89.5
01021,AL,"Chilton County, AL",1,1,1,"19,737","19,067",670,3.4,"19,610","18,618",992,5.1,"19,445","17,375","2,070",10.6,"19,462","17,464","1,998",10.3,"19,539","17,753","1,786",9.1,"19,383","17,982","1,401",7.2,"19,309","18,042","1,267",6.6,"19,108","17,909","1,199",6.3,"19,032","17,951","1,081",5.7,"19,153","18,077","1,076",5.6,44188,95.4
01023,AL,"Choctaw County, AL",9,10,0,"5,183","4,875",308,5.9,"5,069","4,646",423,8.3,"5,134","4,442",692,13.5,"4,860","4,216",644,13.3,"4,764","4,138",626,13.1,"4,791","4,297",494,10.3,"4,691","4,258",433,9.2,"4,497","4,091",406,9.0,"4,398","3,999",399,9.1,"4,300","3,918",382,8.9,32691,70.6
01025,AL,"Clarke County, AL",7,11,0,"10,358","9,730",628,6.1,"10,351","9,419",932,9.0,"10,381","8,664","1,717",16.5,"9,108","7,300","1,808",19.9,"8,843","7,181","1,662",18.8,"8,374","7,116","1,258",15.0,"8,265","7,126","1,139",13.8,"8,161","7,166",995,12.2,"8,026","7,087",939,11.7,"8,011","7,118",893,11.1,34061,73.6
01027,AL,"Clay County, AL",9,10,0,"6,113","5,775",338,5.5,"5,733","5,279",454,7.9,"5,643","4,703",940,16.7,"5,851","5,005",846,14.5,"5,598","4,935",663,11.8,"5,413","4,905",508,9.4,"5,380","4,930",450,8.4,"5,516","5,120",396,7.2,"5,574","5,232",342,6.1,"5,558","5,216",342,6.2,38512,83.2
01029,AL,"Cleburne County, AL",8,4,0,"6,483","6,246",237,3.7,"6,557","6,225",332,5.1,"6,514","5,851",663,10.2,"6,033","5,429",604,10.0,"5,939","5,365",574,9.7,"5,838","5,358",480,8.2,"5,815","5,369",446,7.7,"5,857","5,470",387,6.6,"5,701","5,358",343,6.0,"5,831","5,476",355,6.1,43483,93.9
01031,AL,"Coffee County, AL",4,5,0,"21,077","20,275",802,3.8,"20,911","19,897","1,014",4.8,"21,436","19,612","1,824",8.5,"21,088","19,271","1,817",8.6,"20,749","19,059","1,690",8.1,"20,612","19,159","1,453",7.0,"20,463","19,054","1,409",6.9,"20,242","18,895","1,347",6.7,"20,360","19,151","1,209",5.9,"20,402","19,167","1,235",6.1,48632,105.0
01033,AL,"Colbert County, AL",3,2,1,"25,386","24,216","1,170",4.6,"25,160","23,523","1,637",6.5,"25,414","22,461","2,953",11.6,"24,228","21,453","2,775",11.5,"24,386","21,905","2,481",10.2,"24,026","21,922","2,104",8.8,"23,835","21,878","1,957",8.2,"24,043","22,046","1,997",8.3,"23,676","21,804","1,872",7.9,"23,707","22,045","1,662",7.0,46572,100.6
01035,AL,"Conecuh County, AL",7,11,0,"4,965","4,646",319,6.4,"4,878","4,421",457,9.4,"4,908","3,930",978,19.9,"4,991","4,131",860,17.2,"4,785","4,057",728,15.2,"4,635","4,082",553,11.9,"4,683","4,180",503,10.7,"4,721","4,232",489,10.4,"4,701","4,269",432,9.2,"4,593","4,197",396,8.6,29758,64.3
01037,AL,"Coosa County, AL",8,3,0,"4,686","4,415",271,5.8,"4,659","4,274",385,8.3,"4,593","3,856",737,16.0,"4,654","3,937",717,15.4,"4,477","3,918",559,12.5,"4,445","4,029",416,9.4,"4,440","4,033",407,9.2,"4,471","4,076",395,8.8,"4,445","4,149",296,6.7,"4,444","4,171",273,6.1,36441,78.7
01039,AL,"Covington County, AL",6,6,0,"17,070","16,409",661,3.9,"16,800","15,803",997,5.9,"16,719","14,912","1,807",10.8,"16,417","14,721","1,696",10.3,"16,367","14,764","1,603",9.8,"16,345","14,978","1,367",8.4,"16,023","14,728","1,295",8.1,"15,921","14,682","1,239",7.8,"15,525","14,420","1,105",7.1,"15,392","14,315","1,077",7.0,35010,75.6
01041,AL,"Crenshaw County, AL",8,6,0,"6,546","6,264",282,4.3,"6,464","6,105",359,5.6,"6,439","5,768",671,10.4,"6,285","5,646",639,10.2,"6,432","5,798",634,9.9,"6,251","5,732",519,8.3,"6,295","5,813",482,7.7,"6,303","5,865",438,6.9,"6,365","5,984",381,6.0,"6,451","6,063",388,6.0,37374,80.7
01043,AL,"Cullman County, AL",4,3,0,"39,367","38,047","1,320",3.4,"39,096","37,188","1,908",4.9,"38,537","34,585","3,952",10.3,"35,959","32,202","3,757",10.4,"35,669","32,279","3,390",9.5,"35,568","32,835","2,733",7.7,"35,690","33,313","2,377",6.7,"35,942","33,758","2,184",6.1,"36,497","34,581","1,916",5.2,"37,715","35,792","1,923",5.1,41543,89.7
