GeoFIPS,GeoName,income2010,income2011,income2012,income2013,income2014,income2015,incomePer2010,incomePer2011,incomePer2012,incomePer2013,incomePer2014,incomePer2015,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
00000,United States,12459613000,13233436000,13904485000,14068960000,14801624000,15463981000,40277,42453,44267,44462,46414,48112,309346863,311718857,314102623,316427395,318907401,321418820
01000,Alabama state total,161256950,166595407,170881367,172789879,178976771,184784917,33699,34699,35481,35770,36930,38030,4785161,4801108,4816089,4830533,4846411,4858979
01001,"Autauga, AL",1828505,1895343,1928597,1945296,2021996,2090608,33452,34303,34954,35345,36571,37773,54660,55253,55175,55038,55290,55347
01003,"Baldwin, AL",6611513,6994561,7166230,7361494,7794455,8172925,36090,37472,37639,37727,39028,40121,183193,186659,190396,195126,199713,203709
01005,"Barbour, AL",763443,767836,761468,811386,809739,832881,27923,28202,28037,30081,30197,31443,27341,27226,27159,26973,26815,26489
01007,"Bibb, AL",571586,589665,611309,616256,634246,656594,25003,25939,26999,27375,28127,29075,22861,22733,22642,22512,22549,22583
01009,"Blount, AL",1583509,1623612,1689361,1723140,1784265,1826125,27600,28133,29240,29846,30946,31663,57373,57711,57776,57734,57658,57673
01011,"Bullock, AL",252959,257025,257150,276417,274517,277341,23235,24181,24246,26008,25350,25929,10887,10629,10606,10628,10829,10696
01013,"Butler, AL",594675,598072,617002,639687,664540,675525,28394,28930,30233,31572,32775,33518,20944,20673,20408,20261,20276,20154
01015,"Calhoun, AL",3633246,3703508,3720633,3654231,3763770,3863821,30677,31447,31723,31347,32448,33418,118437,117768,117286,116575,115993,115620
01017,"Chambers, AL",931913,972031,994976,1007445,1030794,1067437,27330,28595,29200,29498,30271,31282,34098,33993,34075,34153,34052,34123
01019,"Cherokee, AL",722608,739390,762565,799748,823732,844162,27818,28351,29304,30660,31688,32645,25976,26080,26023,26084,25995,25859
01021,"Chilton, AL",1197667,1252050,1279205,1292301,1330968,1378946,27429,28625,29274,29508,30304,31380,43665,43739,43697,43795,43921,43943
01023,"Choctaw, AL",363720,369979,384622,389763,399002,408881,26278,27218,28400,29135,30025,31046,13841,13593,13543,13378,13289,13170
01025,"Clarke, AL",719161,730607,724441,749029,775053,786564,27910,28573,28812,29823,31193,31877,25767,25570,25144,25116,24847,24675
01027,"Clay, AL",400498,387714,396440,410527,429431,446838,28854,28362,29462,30484,31720,32965,13880,13670,13456,13467,13538,13555
01029,"Cleburne, AL",408552,418316,434414,449963,462590,468704,27286,27942,29114,29942,30692,31209,14973,14971,14921,15028,15072,15018
01031,"Coffee, AL",1769828,1794969,1834640,1884354,1930242,1993579,35272,35581,35852,37126,37974,38929,50177,50448,51173,50755,50831,51211
01033,"Colbert, AL",1731090,1787041,1800093,1828380,1904466,1947562,31755,32824,33046,33566,34957,35831,54514,54443,54472,54471,54480,54354
01035,"Conecuh, AL",347480,351398,351969,370205,362438,375641,26308,26781,27083,28754,28624,29643,13208,13121,12996,12875,12662,12672
01037,"Coosa, AL",278469,288865,292406,294230,295463,307254,23683,25455,26119,26605,27340,28651,11758,11348,11195,11059,10807,10724
01039,"Covington, AL",1106882,1103382,1130157,1148038,1181950,1194877,29286,28991,29884,30347,31196,31581,37796,38060,37818,37830,37888,37835
01041,"Crenshaw, AL",409995,396514,411681,446726,458734,477930,29596,28534,29509,32065,32889,34228,13853,13896,13951,13932,13948,13963
01043,"Cullman, AL",2450704,2490582,2610518,2757065,2838639,2945902,30454,30951,32480,34141,34950,35923,80473,80469,80374,80756,81221,82005
01045,"Dale, AL",1650815,1681387,1666705,1665215,1663636,1690534,32782,33555,33119,33416,33608,34107,50358,50109,50324,49833,49501,49565
01047,"Dallas, AL",1234005,1274479,1263567,1262097,1265327,1299525,28172,29517,29538,30035,30371,31595,43803,43178,42777,42021,41662,41131
01049,"DeKalb, AL",1913125,1831055,1906805,1971430,2041672,2106922,26892,25650,26878,27818,28751,29621,71142,71387,70942,70869,71012,71130
01051,"Elmore, AL",2698156,2805504,2859504,2867046,2943855,3060059,33954,35064,35552,35447,36334,37561,79465,80012,80432,80883,81022,81468
01053,"Escambia, AL",1012709,1047409,1082919,1088125,1118025,1146587,26435,27410,28472,28743,29590,30342,38309,38213,38034,37857,37784,37789
01055,"Etowah, AL",3175450,3222696,3284079,3290005,3408014,3512766,30404,30917,31506,31680,32943,34086,104442,104236,104235,103852,103452,103057
01057,"Fayette, AL",448451,452973,469406,475256,490256,509917,26026,26549,27677,28193,29109,30426,17231,17062,16960,16857,16842,16759
01059,"Franklin, AL",902121,906466,917534,927089,967663,1002037,28428,28569,28992,29425,30630,31614,31734,31729,31648,31507,31592,31696
01061,"Geneva, AL",775287,783008,793995,816289,835044,861013,28934,29182,29401,30513,31267,32155,26795,26832,27006,26752,26707,26777
01063,"Greene, AL",244778,254841,253160,276794,255249,263091,27195,28602,28654,31793,29843,31029,9001,8910,8835,8706,8553,8479
01065,"Hale, AL",465488,479284,488057,510317,502575,523248,29583,31195,31690,33319,33215,34726,15735,15364,15401,15316,15131,15068
01067,"Henry, AL",535503,560343,572646,590386,601908,615259,30968,32191,33199,34313,35044,35727,17292,17407,17249,17206,17176,17221
01069,"Houston, AL",3605824,3721628,3772288,3774778,3882040,3988192,35427,36336,36498,36433,37288,38284,101783,102422,103355,103610,104110,104173
01071,"Jackson, AL",1566652,1612241,1666190,1699787,1741260,1778554,29460,30269,31400,32119,33084,33930,53179,53264,53064,52921,52631,52419
01073,"Jefferson, AL",27803848,28442865,29674166,29390981,30658347,31511663,42248,43241,45118,44605,46426,47718,658116,657779,657704,658913,660368,660367
01075,"Lamar, AL",383981,397175,407945,410623,412128,424811,26491,27790,28624,28944,29333,30593,14495,14292,14252,14187,14050,13886
01077,"Lauderdale, AL",2890069,2974522,3022814,3044995,3195906,3258402,31161,32116,32616,32838,34341,35189,92747,92618,92680,92729,93063,92596
01079,"Lawrence, AL",944835,960813,992084,1041106,1068440,1070293,27542,28222,29372,31016,31964,32320,34305,34045,33776,33567,33426,33115
01081,"Lee, AL",4084175,4361129,4628554,4759249,5020312,5278429,29011,30267,31295,31413,32509,33622,140782,144087,147899,151506,154426,156993
01083,"Limestone, AL",2783486,2981961,3121492,3181737,3294634,3415333,33470,34854,35747,35802,36360,37260,83163,85557,87321,88870,90612,91663
01085,"Lowndes, AL",349858,349186,357072,376125,385463,394472,31030,31404,32904,35070,36519,37720,11275,11119,10852,10725,10555,10458
01087,"Macon, AL",553957,570851,569686,581163,589963,595902,25712,26840,27818,29275,30431,31191,21545,21269,20479,19852,19387,19105
