,2009,2010,2011,2012,2013,2014,2015
"01. (Crop And Animal Production, Hunting And Related Service Activities)",,(1)*,,(1)*,(1)*,4687874,1832058
05. (Mining Of Coal And Lignite),15435025,95705296,102544265,18274070,23622482,16570870,22234638
06. (Extraction Of Crude Petroleum And Natural Gas),(1)*,(1)*,(1)*,(1)*,(1)*,1979769,(1)*
07. (Mining Of Metal Ores),16571227,18909548,17090289,32102675,55862379,75387628,63507344
08. (Other Mining And Quarrying),64907352,80746992,92167954,86063569,104329036,129521704,159914552
09. (Mining Support Service Activities),(1)*,(1)*,(1)*,(1)*,(1)*,1184773,(1)*
10. (Manufacture Of Food Products),835445192,967589388,1093390302,1409787279,1537869461,1646172554,1884829626
11. (Manufacture Of Beverages),86825719,90120455,111756251,147560904,156110756,200881489,212177754
12. (Manufacture Of Tobacco Products),(1)*,193399923,82711568,(1)*,(1)*,(1)*,(1)*
13. (Manufacture Of Textiles),710577723,795304770,1030906244,1187969439,1374996914,1619550294,1822209941
14. (Manufacture Of Wearing Apparel),1873645398,2274200351,2837793517,3628615385,4136146399,4560411705,4849374009
15. (Manufacture Of Leather And Related Products),198132067,237777571,288030673,367255465,414971345,503354351,497079368
"16. (Manufacture Of Wood And Of Products Of Wood And Cork, Except Furniture; Manufacture Of Articles Of Straw And Plaiting Materials)",57670921,73491836,78603461,105439880,117556840,92360985,138059660
17. (Manufacture Of Paper And Paper Products),304965961,402427431,436590966,495306678,608009187,705334442,805391089
18. (Printing And Reproduction Of Recorded Media),272436236,318507972,343737009,473072591,467133532,464092476,484922316
19. (Manufacture Of Coke And Refined Petroleum Products),(1)*,20454433,21077128,(1)*,(1)*,(1)*,(1)*
20. (Manufacture Of Chemicals And Chemical Products),565685348,644887269,720164743,751079903,794412481,1019015515,1192842886
21. (Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations),1045222771,1147001148,1131677032,1064650386,1203490381,1073542149,1425858566
22. (Manufacture Of Rubber And Plastic Products),681327623,823938415,981605530,1198093093,1353583447,1623534335,1770747418
23. (Manufacture Of Other Non-Metallic Mineral Products),432209869,565307831,607553000,791608843,822462967,1002105441,1090277366
24. (Manufacture Of Basic Metals),326954981,439595303,495158758,499427787,580349816,675050510,700046355
"25. (Manufacture Of Fabricated Metal Products, Except Machinery And Equipment)",831515442,946559639,1103985163,1289815475,1557368614,1825420829,2083187994
